timestamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000,  0.93711371,1,1
0.0333,  0.89548597,1,1
0.0667,  0.95974608,1,1
0.1000,  0.98307733,1,1
0.1333,  1.10313028,1,1
0.1667,  1.03472914,1,1
0.2000,  1.00000000,1,0
0.2333,  1.03877413,1,1
0.2667,  1.03122153,1,1
0.3000,  1.12922254,1,1
0.3333,  1.10219667,1,1
0.3667,  1.00000000,1,0
0.4000,  0.97481963,1,1
0.4333,  0.91399745,1,1
0.4667,  1.03519136,1,1
0.5000,  0.98043119,1,1
0.5333,  1.14213554,1,1
0.5667,  0.91253792,1,1
0.6000,  1.04443745,1,1
0.6333,  0.98517738,1,1
0.6667,  1.00000000,1,0
0.7000,  1.02564125,1,1
0.7333,  0.98166090,1,1
0.7667,  1.09955497,1,1
0.8000,  1.00000000,1,0
0.8333,  1.05459909,1,1
0.8667,  0.97936193,1,1
0.9000,  0.95879851,1,1
0.9333,  0.93425964,1,1
0.9667,  0.98403223,1,1
1.0000,  1.14816302,1,1
1.0333,  0.96960910,1,1
1.0667,  1.05308176,1,1
1.1000,  0.97571103,1,1
1.1333,  0.90456464,1,1
1.1667,  0.97414028,1,1
1.2000,  0.91726729,1,1
1.2333,  0.89904094,1,1
1.2667,  1.09908451,1,1
1.3000,  0.92374675,1,1
1.3333,  1.07991992,1,1
1.3667,  1.05972505,1,1
1.4000,  1.00000000,1,0
1.4333,  1.01283963,1,1
1.4667,  1.01666978,1,1
1.5000,  0.98569921,1,1
1.5333,  1.04365895,1,1
1.5667,  0.98452864,1,1
1.6000,  0.96240722,1,1
1.6333,  1.01417135,1,1
1.6667,  1.07073952,1,1
1.7000,  1.03534130,1,1
1.7333,  1.00000000,1,0
1.7667,  1.00000000,1,0
1.8000,  1.03439728,1,1
1.8333,  0.96697386,1,1
1.8667,  0.93017322,1,1
1.9000,  1.03551249,1,1
1.9333,  0.98023276,1,1
1.9667,  1.04858527,1,1
2.0000,  0.97916254,1,1
2.0333,  1.06034091,1,1
2.0667,  1.01798490,1,1
2.1000,  1.03184932,1,1
2.1333,  1.04163695,1,1
2.1667,  1.06435469,1,1
2.2000,  0.93448578,1,1
2.2333,  1.13020501,1,1
2.2667,  0.96719043,1,1
2.3000,  1.11237596,1,1
2.3333,  1.02864280,1,1
2.3667,  0.87976765,1,1
2.4000,  1.00000000,1,0
2.4333,  0.96748601,1,1
2.4667,  0.96455325,1,1
2.5000,  1.07953666,1,1
2.5333,  1.05201140,1,1
2.5667,  1.00000000,1,0
2.6000,  0.97147681,1,1
2.6333,  1.04022476,1,1
2.6667,  1.02096296,1,1
2.7000,  1.00000000,1,0
2.7333,  1.05295483,1,1
2.7667,  1.11277149,1,1
2.8000,  1.04207757,1,1
2.8333,  1.00000000,1,0
2.8667,  0.95960122,1,1
2.9000,  1.00000000,1,0
2.9333,  1.03447847,1,1
2.9667,  1.00000000,1,0
3.0000,  1.01201427,1,1
3.0333,  0.96406489,1,1
3.0667,  0.94579036,1,1
3.1000,  0.92235605,1,1
3.1333,  0.97206799,1,1
3.1667,  1.00000000,1,0
3.2000,  0.97774587,1,1
3.2333,  0.92529768,1,1
3.2667,  1.00000000,1,0
3.3000,  1.06501417,1,1
3.3333,  1.01605412,1,1
3.3667,  1.04053572,1,1
3.4000,  0.91713673,1,1
3.4333,  0.98852293,1,1
3.4667,  1.02221079,1,1
3.5000,  1.03892139,1,1
3.5333,  1.03481885,1,1
3.5667,  1.03686203,1,1
3.6000,  1.01932866,1,1
3.6333,  1.00000000,1,0
3.6667,  0.93172707,1,1
3.7000,  1.00000000,1,0
3.7333,  0.93553767,1,1
3.7667,  1.01412448,1,1
3.8000,  0.93896825,1,1
3.8333,  1.14428457,1,1
3.8667,  1.04869931,1,1
3.9000,  0.97745405,1,1
3.9333,  0.98257345,1,1
3.9667,  1.00000000,1,0
4.0000,  0.94704309,1,1
4.0333,  1.02876100,1,1
4.0667,  0.91130227,1,1
4.1000,  0.98760828,1,1
4.1333,  1.00000000,1,0
4.1667,  0.95458471,1,1
4.2000,  0.96102900,1,1
4.2333,  1.01752002,1,1
4.2667,  1.00000000,1,0
4.3000,  1.04929389,1,1
4.3333,  1.00000000,1,0
4.3667,  1.01601722,1,1
4.4000,  0.97978091,1,1
4.4333,  0.94351418,1,1
4.4667,  1.02386786,1,1
4.5000,  1.11816168,1,1
4.5333,  1.06164995,1,1
4.5667,  1.08753723,1,1
4.6000,  0.98823010,1,1
4.6333,  0.94807713,1,1
4.6667,  1.02066834,1,1
4.7000,  1.06571211,1,1
4.7333,  0.90586147,1,1
4.7667,  1.01482278,1,1
4.8000,  1.03153529,1,1
4.8333,  1.02817035,1,1
4.8667,  0.97101151,1,1
4.9000,  1.01077720,1,1
4.9333,  1.02189662,1,1
4.9667,  1.08328229,1,1
5.0000,  0.98523772,1,1
5.0333,  0.86713149,1,1
5.0667,  1.03255249,1,1
5.1000,  1.00000000,1,0
5.1333,  0.98292382,1,1
5.1667,  0.92008628,1,1
5.2000,  1.03677241,1,1
5.2333,  1.04015568,1,1
5.2667,  1.07599936,1,1
5.3000,  0.98709699,1,1
5.3333,  1.02220701,1,1
5.3667,  0.94015672,1,1
5.4000,  0.95607405,1,1
5.4333,  1.04589710,1,1
5.4667,  1.02125948,1,1
5.5000,  1.01518037,1,1
5.5333,  1.00000000,1,0
5.5667,  0.98619847,1,1
5.6000,  1.04297454,1,1
5.6333,  0.90156165,1,1
5.6667,  1.11632790,1,1
5.7000,  0.95845578,1,1
5.7333,  1.06310409,1,1
5.7667,  1.04920544,1,1
5.8000,  1.00000000,1,0
5.8333,  0.97731906,1,1
5.8667,  0.96832081,1,1
5.9000,  1.04510994,1,1
5.9333,  1.00000000,1,0
5.9667,  0.91103317,1,1
6.0000,  0.95546255,1,1
6.0333,  0.88786471,1,1
6.0667,  0.95926700,1,1
6.1000,  0.97281829,1,1
6.1333,  1.01783816,1,1
6.1667,  1.00000000,1,0
6.2000,  1.11326782,1,1
6.2333,  0.89681079,1,1
6.2667,  1.02286812,1,1
6.3000,  0.92256711,1,1
6.3333,  1.03652657,1,1
6.3667,  0.95705570,1,1
6.4000,  0.98311133,1,1
6.4333,  1.11907887,1,1
6.4667,  1.00000000,1,0
6.5000,  1.06731658,1,1
6.5333,  1.13293190,1,1
6.5667,  1.08883823,1,1
6.6000,  1.02777763,1,1
6.6333,  1.09965107,1,1
6.6667,  1.02260737,1,1
6.7000,  0.96143006,1,1
6.7333,  1.07012655,1,1
6.7667,  1.00000000,1,0
6.8000,  0.96013311,1,1
6.8333,  1.10417554,1,1
6.8667,  0.90767967,1,1
6.9000,  1.01454138,1,1
6.9333,  0.87796797,1,1
6.9667,  0.94136950,1,1
7.0000,  0.95078564,1,1
7.0333,  1.12617142,1,1
7.0667,  1.04112160,1,1
7.1000,  1.02104429,1,1
7.1333,  1.05729730,1,1
7.1667,  1.01418808,1,1
7.2000,  0.89112367,1,1
7.2333,  1.04126055,1,1
7.2667,  1.05926105,1,1
7.3000,  1.02407022,1,1
7.3333,  1.07054072,1,1
7.3667,  1.00000000,1,0
7.4000,  1.02968407,1,1
7.4333,  1.01790876,1,1
7.4667,  1.00000000,1,0
7.5000,  1.00000000,1,0
7.5333,  1.02801372,1,1
7.5667,  0.95648889,1,1
7.6000,  1.00000000,1,0
7.6333,  1.03591136,1,1
7.6667,  1.01657162,1,1
7.7000,  1.02934332,1,1
7.7333,  1.04050081,1,1
7.7667,  1.04736498,1,1
7.8000,  1.05007401,1,1
7.8333,  1.00000000,1,0
7.8667,  1.08546652,1,1
7.9000,  0.92362493,1,1
7.9333,  0.97615613,1,1
7.9667,  1.02327785,1,1
8.0000,  0.98315022,1,1
8.0333,  0.96066820,1,1
8.0667,  0.96104678,1,1
8.1000,  0.88821344,1,1
8.1333,  1.03628430,1,1
8.1667,  1.00000000,1,0
8.2000,  1.03781923,1,1
8.2333,  0.97143704,1,1
8.2667,  0.84120538,1,1
8.3000,  1.06329438,1,1
8.3333,  0.93179924,1,1
8.3667,  1.07391452,1,1
8.4000,  0.96634295,1,1
8.4333,  1.03361398,1,1
8.4667,  0.96956929,1,1
8.5000,  0.93922301,1,1
8.5333,  1.04695994,1,1
8.5667,  1.04324118,1,1
8.6000,  1.05667472,1,1
8.6333,  0.97588480,1,1
8.6667,  0.90949357,1,1
8.7000,  0.97867417,1,1
8.7333,  0.98670677,1,1
8.7667,  1.01898692,1,1
8.8000,  1.08317888,1,1
8.8333,  1.01145356,1,1
8.8667,  1.00000000,1,0
8.9000,  1.02245180,1,1
8.9333,  0.98285381,1,1
8.9667,  0.95890188,1,1
9.0000,  0.94777803,1,1
9.0333,  1.03437503,1,1
9.0667,  0.96282001,1,1
9.1000,  1.01487316,1,1
9.1333,  0.94574016,1,1
9.1667,  1.12242867,1,1
9.2000,  1.00000000,1,0
9.2333,  1.03444803,1,1
9.2667,  0.96374167,1,1
9.3000,  0.98463834,1,1
9.3333,  1.00000000,1,0
9.3667,  0.96751454,1,1
9.4000,  1.03850465,1,1
9.4333,  1.00000000,1,0
9.4667,  1.05851713,1,1
9.5000,  0.91860373,1,1
9.5333,  1.08277750,1,1
9.5667,  0.91454016,1,1
9.6000,  0.95428142,1,1
9.6333,  1.07138308,1,1
9.6667,  1.00000000,1,0
9.7000,  1.02752336,1,1
9.7333,  0.96824218,1,1
9.7667,  1.02451713,1,1
9.8000,  0.95924892,1,1
9.8333,  0.96062829,1,1
9.8667,  1.10741755,1,1
9.9000,  1.04975535,1,1
9.9333,  1.07066998,1,1
9.9667,  1.01690166,1,1
10.0000,  0.96173243,1,1
10.0333,  0.98716223,1,1
10.0667,  1.05185814,1,1
10.1000,  1.08865545,1,1
10.1333,  1.06575634,1,1
10.1667,  1.06129789,1,1
10.2000,  1.03845781,1,1
