timestamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000, -0.01109939,0,1
0.0333,  0.27056783,2.096489e-01,1
0.0667,  0.34193918,4.192979e-01,1
0.1000,  0.51299012,6.289468e-01,1
0.1333,  0.74370513,8.385958e-01,0
0.1667,  0.83157483,1.048245e+00,1
0.2000,  0.95144409,1.257894e+00,0
0.2333,  0.92372114,1.467543e+00,1
0.2667,  0.96706370,1.677192e+00,1
0.3000,  0.98571402,1.886841e+00,1
0.3333,  0.80622151,2.096489e+00,1
0.3667,  0.76220065,2.306138e+00,1
0.4000,  0.58575012,2.515787e+00,0
0.4333,  0.35880296,2.725436e+00,1
0.4667,  0.17663548,2.935085e+00,1
0.5000,  0.11791134,3.144734e+00,1
0.5333, -0.24064978,3.354383e+00,1
0.5667, -0.40998671,3.564032e+00,0
0.6000, -0.57348868,3.773681e+00,1
0.6333, -0.72154348,3.983330e+00,1
0.6667, -0.89818661,4.192979e+00,1
0.7000, -0.83051630,4.402628e+00,1
0.7333, -0.99499297,4.612277e+00,0
0.7667, -1.01383804,4.821926e+00,1
0.8000, -0.97362312,5.031575e+00,1
0.8333, -0.89962383,5.241224e+00,1
0.8667, -0.79736482,5.450873e+00,1
0.9000, -0.53347376,5.660522e+00,1
0.9333, -0.41974548,5.870171e+00,1
0.9667, -0.20196687,6.079820e+00,0
1.0000, -0.11054133,6.283185e-03,1
1.0333,  0.16544520,2.159321e-01,1
1.0667,  0.37091457,4.255811e-01,1
1.1000,  0.59336269,6.352300e-01,0
1.1333,  0.85343566,8.448790e-01,1
1.1667,  0.90994706,1.054528e+00,1
1.2000,  1.01013265,1.264177e+00,1
1.2333,  0.99530204,1.473826e+00,0
1.2667,  1.09257226,1.683475e+00,1
1.3000,  0.90243738,1.893124e+00,1
1.3333,  0.86180627,2.102773e+00,0
1.3667,  0.75346575,2.312422e+00,1
1.4000,  0.67161389,2.522071e+00,1
1.4333,  0.41758627,2.731720e+00,1
1.4667,  0.17543329,2.941368e+00,1
1.5000,  0.10823892,3.151017e+00,1
1.5333, -0.21732558,3.360666e+00,0
1.5667, -0.44071943,3.570315e+00,1
1.6000, -0.52335968,3.779964e+00,1
1.6333, -0.81076445,3.989613e+00,1
1.6667, -0.82649260,4.199262e+00,1
1.7000, -1.01429870,4.408911e+00,1
1.7333, -1.07255010,4.618560e+00,1
1.7667, -0.97185184,4.828209e+00,1
1.8000, -1.01156260,5.037858e+00,1
1.8333, -0.87413652,5.247507e+00,1
1.8667, -0.77271722,5.457156e+00,1
1.9000, -0.57808551,5.666805e+00,0
1.9333, -0.35497171,5.876454e+00,1
1.9667, -0.13014081,6.086103e+00,1
2.0000, -0.03602036,1.256637e-02,1
2.0333,  0.19797483,2.222153e-01,1
2.0667,  0.30348569,4.318643e-01,1
2.1000,  0.53187420,6.415132e-01,1
2.1333,  0.76793488,8.511622e-01,1
2.1667,  0.78100757,1.060811e+00,1
2.2000,  0.88274580,1.270460e+00,1
2.2333,  1.01503912,1.480109e+00,1
2.2667,  0.98148586,1.689758e+00,1
2.3000,  0.98160856,1.899407e+00,1
2.3333,  0.93806509,2.109056e+00,1
2.3667,  0.62275840,2.318705e+00,1
2.4000,  0.63736809,2.528354e+00,1
2.4333,  0.46030766,2.738003e+00,1
2.4667,  0.13296045,2.947652e+00,1
2.5000,  0.01216526,3.157301e+00,1
2.5333, -0.15603156,3.366950e+00,1
2.5667, -0.39808087,3.576599e+00,1
2.6000, -0.62879124,3.786247e+00,1
2.6333, -0.82062901,3.995896e+00,1
2.6667, -0.84876365,4.205545e+00,1
2.7000, -0.86051970,4.415194e+00,1
2.7333, -1.02981182,4.624843e+00,1
2.7667, -0.95252848,4.834492e+00,1
2.8000, -0.88454616,5.044141e+00,1
2.8333, -0.85698747,5.253790e+00,0
2.8667, -0.75957712,5.463439e+00,1
2.9000, -0.59569677,5.673088e+00,1
2.9333, -0.33812276,5.882737e+00,1
2.9667, -0.15313800,6.092386e+00,1
3.0000,  0.14095144,1.884956e-02,1
3.0333,  0.16263110,2.284985e-01,1
3.0667,  0.30892749,4.381475e-01,1
3.1000,  0.51715303,6.477964e-01,1
3.1333,  0.67785924,8.574454e-01,1
3.1667,  0.86315281,1.067094e+00,1
3.2000,  0.90900247,1.276743e+00,1
3.2333,  0.97069078,1.486392e+00,1
3.2667,  1.07284012,1.696041e+00,1
3.3000,  0.80797271,1.905690e+00,1
3.3333,  0.85536426,2.115339e+00,0
3.3667,  0.66389688,2.324988e+00,1
3.4000,  0.59412319,2.534637e+00,1
3.4333,  0.50806043,2.744286e+00,1
3.4667,  0.18655833,2.953935e+00,0
3.5000, -0.05159093,3.163584e+00,1
3.5333, -0.24658079,3.373233e+00,1
3.5667, -0.44292305,3.582882e+00,1
3.6000, -0.54870863,3.792531e+00,1
3.6333, -0.62538872,4.002180e+00,1
3.6667, -0.87731374,4.211829e+00,0
3.7000, -1.00989228,4.421478e+00,1
3.7333, -0.95290719,4.631126e+00,1
3.7667, -1.08424620,4.840775e+00,1
3.8000, -0.90709623,5.050424e+00,1
3.8333, -0.93484182,5.260073e+00,1
3.8667, -0.76640302,5.469722e+00,1
3.9000, -0.61057003,5.679371e+00,1
3.9333, -0.33484059,5.889020e+00,1
3.9667, -0.18347098,6.098669e+00,0
4.0000, -0.02365997,2.513274e-02,1
4.0333,  0.18685108,2.347817e-01,1
4.0667,  0.47029996,4.444306e-01,1
4.1000,  0.55071283,6.540796e-01,1
4.1333,  0.73617294,8.637285e-01,1
4.1667,  0.89640008,1.073377e+00,1
4.2000,  0.89165156,1.283026e+00,1
4.2333,  0.91940915,1.492675e+00,1
4.2667,  0.93108689,1.702324e+00,1
4.3000,  0.97808770,1.911973e+00,1
4.3333,  0.78969727,2.121622e+00,1
4.3667,  0.78698066,2.331271e+00,1
4.4000,  0.54449042,2.540920e+00,1
4.4333,  0.31693291,2.750569e+00,1
4.4667,  0.21656304,2.960218e+00,1
4.5000, -0.10313768,3.169867e+00,1
4.5333, -0.23568492,3.379516e+00,0
4.5667, -0.49281313,3.589165e+00,1
4.6000, -0.61091924,3.798814e+00,0
4.6333, -0.74606983,4.008463e+00,1
4.6667, -0.83643785,4.218112e+00,1
4.7000, -1.10144890,4.427761e+00,1
4.7333, -1.01722490,4.637410e+00,1
4.7667, -0.88347442,4.847059e+00,1
4.8000, -0.97330855,5.056708e+00,1
4.8333, -0.79357319,5.266356e+00,1
4.8667, -0.64909373,5.476005e+00,1
4.9000, -0.53271539,5.685654e+00,1
4.9333, -0.37822858,5.895303e+00,0
4.9667, -0.21979613,6.104952e+00,1
5.0000,  0.03141076,3.141593e-02,0
5.0333,  0.27976170,2.410649e-01,1
5.0667,  0.40427171,4.507138e-01,1
5.1000,  0.58205371,6.603628e-01,1
5.1333,  0.73483516,8.700117e-01,1
5.1667,  0.77323189,1.079661e+00,1
5.2000,  0.93787074,1.289310e+00,1
5.2333,  0.98557144,1.498959e+00,1
5.2667,  0.93788144,1.708608e+00,1
5.3000,  0.96084919,1.918256e+00,1
5.3333,  0.81397697,2.127905e+00,1
5.3667,  0.67092743,2.337554e+00,1
5.4000,  0.62240797,2.547203e+00,1
5.4333,  0.30087308,2.756852e+00,1
5.4667,  0.24130615,2.966501e+00,1
5.5000,  0.00933184,3.176150e+00,1
5.5333, -0.29839032,3.385799e+00,1
5.5667, -0.43843389,3.595448e+00,0
5.6000, -0.61588151,3.805097e+00,0
5.6333, -0.77727375,4.014746e+00,1
5.6667, -0.88327513,4.224395e+00,0
5.7000, -0.90770297,4.434044e+00,1
5.7333, -0.91815259,4.643693e+00,1
5.7667, -0.95437753,4.853342e+00,1
5.8000, -0.88407219,5.062991e+00,1
5.8333, -0.84712192,5.272640e+00,0
5.8667, -0.71798053,5.482289e+00,0
5.9000, -0.55739739,5.691938e+00,0
5.9333, -0.40125806,5.901587e+00,1
5.9667, -0.11355626,6.111235e+00,1
6.0000,  0.01096434,3.769911e-02,1
6.0333,  0.20548260,2.473481e-01,1
6.0667,  0.49133663,4.569970e-01,1
6.1000,  0.50507585,6.666460e-01,1
6.1333,  0.67958842,8.762949e-01,1
6.1667,  0.90167708,1.085944e+00,1
6.2000,  0.93312456,1.295593e+00,1
6.2333,  0.94626045,1.505242e+00,1
6.2667,  0.98963635,1.714891e+00,0
6.3000,  0.95672384,1.924540e+00,1
6.3333,  0.87977744,2.134189e+00,1
6.3667,  0.76979518,2.343838e+00,1
6.4000,  0.68873245,2.553487e+00,1
6.4333,  0.29592537,2.763135e+00,1
6.4667,  0.16800765,2.972784e+00,0
6.5000,  0.02466481,3.182433e+00,1
6.5333, -0.20194408,3.392082e+00,1
6.5667, -0.39329493,3.601731e+00,1
6.6000, -0.56721339,3.811380e+00,1
6.6333, -0.79599660,4.021029e+00,1
6.6667, -0.90499442,4.230678e+00,1
6.7000, -0.90241339,4.440327e+00,1
6.7333, -0.91298486,4.649976e+00,1
6.7667, -0.97517130,4.859625e+00,1
6.8000, -0.93698964,5.069274e+00,0
6.8333, -0.89275973,5.278923e+00,1
6.8667, -0.75200460,5.488572e+00,1
6.9000, -0.53595084,5.698221e+00,1
6.9333, -0.40485145,5.907870e+00,1
6.9667, -0.14485940,6.117519e+00,1
7.0000,  0.01915856,4.398230e-02,1
7.0333,  0.26130789,2.536312e-01,1
7.0667,  0.55200298,4.632802e-01,1
7.1000,  0.62327925,6.729291e-01,0
7.1333,  0.71266699,8.825781e-01,1
7.1667,  0.83873214,1.092227e+00,1
7.2000,  1.01348488,1.301876e+00,1
7.2333,  0.99824397,1.511525e+00,0
7.2667,  1.03242432,1.721174e+00,1
7.3000,  0.98864725,1.930823e+00,1
7.3333,  0.90014129,2.140472e+00,1
7.3667,  0.58031499,2.350121e+00,1
7.4000,  0.57202126,2.559770e+00,1
7.4333,  0.34428577,2.769419e+00,1
