time_stamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000, -0.03464056,0,1
0.0333,  0.20791169,2.094395e-01,0
0.0667,  0.43821788,4.188790e-01,1
0.1000,  0.60384649,6.283185e-01,1
0.1333,  0.80713259,8.377580e-01,1
0.1667,  0.92377832,1.047198e+00,1
0.2000,  0.92843021,1.256637e+00,1
0.2333,  0.95241281,1.466077e+00,1
0.2667,  0.95280382,1.675516e+00,1
0.3000,  0.99286943,1.884956e+00,1
0.3333,  0.89918624,2.094395e+00,1
0.3667,  0.60783386,2.303835e+00,1
0.4000,  0.58778525,2.513274e+00,0
0.4333,  0.40673664,2.722714e+00,0
0.4667,  0.20791169,2.932153e+00,0
0.5000, -0.03379979,3.141593e+00,1
0.5333, -0.19131282,3.351032e+00,1
0.5667, -0.40673664,3.560472e+00,0
0.6000, -0.58778525,3.769911e+00,0
0.6333, -0.65449021,3.979351e+00,1
0.6667, -0.88705373,4.188790e+00,1
0.7000, -0.91558861,4.398230e+00,1
0.7333, -0.95589904,4.607669e+00,1
0.7667, -1.14970130,4.817109e+00,1
0.8000, -0.95105652,5.026548e+00,0
0.8333, -0.93140920,5.235988e+00,1
0.8667, -0.75989062,5.445427e+00,1
0.9000, -0.63165539,5.654867e+00,1
0.9333, -0.35211461,5.864306e+00,1
0.9667, -0.26539248,6.073746e+00,1
1.0000, -0.08352038,0,1
1.0333,  0.28094729,2.094395e-01,1
1.0667,  0.40673664,4.188790e-01,0
1.1000,  0.67604930,6.283185e-01,1
1.1333,  0.78848805,8.377580e-01,1
1.1667,  0.75312193,1.047198e+00,1
1.2000,  0.98750887,1.256637e+00,1
1.2333,  1.05790485,1.466077e+00,1
1.2667,  1.00990774,1.675516e+00,1
1.3000,  0.86868130,1.884956e+00,1
1.3333,  0.99431140,2.094395e+00,1
1.3667,  0.72676196,2.303835e+00,1
1.4000,  0.50545187,2.513274e+00,1
1.4333,  0.42859025,2.722714e+00,1
1.4667,  0.14606475,2.932153e+00,1
1.5000,  0.01296159,3.141593e+00,1
1.5333, -0.23633669,3.351032e+00,1
1.5667, -0.38622328,3.560472e+00,1
1.6000, -0.61796463,3.769911e+00,1
1.6333, -0.67810164,3.979351e+00,1
1.6667, -0.80190673,4.188790e+00,1
1.7000, -1.00118082,4.398230e+00,1
1.7333, -0.93341944,4.607669e+00,1
1.7667, -0.99452190,4.817109e+00,0
1.8000, -0.95105652,5.026548e+00,0
1.8333, -0.94227045,5.235988e+00,1
1.8667, -0.75451295,5.445427e+00,1
1.9000, -0.62541114,5.654867e+00,1
1.9333, -0.33283121,5.864306e+00,1
1.9667, -0.14915616,6.073746e+00,1
2.0000, -0.04029154,0,1
2.0333,  0.15845156,2.094395e-01,1
2.0667,  0.42823484,4.188790e-01,1
2.1000,  0.60475340,6.283185e-01,1
2.1333,  0.74314483,8.377580e-01,0
2.1667,  0.78112584,1.047198e+00,1
2.2000,  0.88135377,1.256637e+00,1
2.2333,  1.07770940,1.466077e+00,1
2.2667,  0.90642108,1.675516e+00,1
2.3000,  0.78195171,1.884956e+00,1
2.3333,  0.84828299,2.094395e+00,1
2.3667,  0.86398175,2.303835e+00,1
2.4000,  0.53645674,2.513274e+00,1
2.4333,  0.33035166,2.722714e+00,1
2.4667,  0.23292885,2.932153e+00,1
2.5000,  0.08379532,3.141593e+00,1
2.5333, -0.31853757,3.351032e+00,1
2.5667, -0.42915484,3.560472e+00,1
2.6000, -0.58778525,3.769911e+00,0
2.6333, -0.71988490,3.979351e+00,1
2.6667, -0.72977415,4.188790e+00,1
2.7000, -0.92589949,4.398230e+00,1
2.7333, -1.07309140,4.607669e+00,1
2.7667, -0.98417442,4.817109e+00,1
2.8000, -0.93457790,5.026548e+00,1
2.8333, -0.84575520,5.235988e+00,1
2.8667, -0.82123823,5.445427e+00,1
2.9000, -0.56493708,5.654867e+00,1
2.9333, -0.37177435,5.864306e+00,1
2.9667, -0.14168778,6.073746e+00,1
3.0000, -0.04636609,0,1
3.0333,  0.15492489,2.094395e-01,1
3.0667,  0.39459597,4.188790e-01,1
3.1000,  0.65213392,6.283185e-01,1
3.1333,  0.69043419,8.377580e-01,1
3.1667,  0.95256588,1.047198e+00,1
3.2000,  0.98300175,1.256637e+00,1
3.2333,  0.93323336,1.466077e+00,1
3.2667,  1.01385676,1.675516e+00,1
3.3000,  1.00153215,1.884956e+00,1
3.3333,  0.89354348,2.094395e+00,1
3.3667,  0.68096723,2.303835e+00,1
3.4000,  0.57575616,2.513274e+00,1
3.4333,  0.33989224,2.722714e+00,1
3.4667,  0.34362384,2.932153e+00,1
3.5000,  0.03944765,3.141593e+00,1
3.5333, -0.09190498,3.351032e+00,1
3.5667, -0.43031113,3.560472e+00,1
3.6000, -0.75234534,3.769911e+00,1
3.6333, -0.71360125,3.979351e+00,1
3.6667, -0.83207537,4.188790e+00,1
3.7000, -0.92081856,4.398230e+00,1
3.7333, -1.02774201,4.607669e+00,1
3.7667, -0.96761825,4.817109e+00,1
3.8000, -1.00499660,5.026548e+00,1
3.8333, -0.86602540,5.235988e+00,0
3.8667, -0.66369376,5.445427e+00,1
3.9000, -0.52777013,5.654867e+00,1
3.9333, -0.35824886,5.864306e+00,1
3.9667, -0.19768580,6.073746e+00,1
4.0000, -0.04157385,0,1
4.0333,  0.23161374,2.094395e-01,1
4.0667,  0.46084720,4.188790e-01,1
4.1000,  0.52479549,6.283185e-01,1
4.1333,  0.76743807,8.377580e-01,1
4.1667,  0.77721334,1.047198e+00,1
4.2000,  0.86177140,1.256637e+00,1
4.2333,  0.99452190,1.466077e+00,0
4.2667,  1.01037311,1.675516e+00,1
4.3000,  0.96753773,1.884956e+00,1
4.3333,  0.86602540,2.094395e+00,0
4.3667,  0.64907751,2.303835e+00,1
4.4000,  0.62572913,2.513274e+00,1
4.4333,  0.42201258,2.722714e+00,1
4.4667,  0.20791169,2.932153e+00,0
4.5000,  0.00000000,3.141593e+00,0
4.5333, -0.33012414,3.351032e+00,1
4.5667, -0.38395122,3.560472e+00,1
4.6000, -0.58778525,3.769911e+00,0
4.6333, -0.79464735,3.979351e+00,1
4.6667, -0.86602540,4.188790e+00,0
4.7000, -0.93689994,4.398230e+00,1
4.7333, -0.90077349,4.607669e+00,1
4.7667, -0.99452190,4.817109e+00,0
4.8000, -1.00416896,5.026548e+00,1
4.8333, -0.90829272,5.235988e+00,1
4.8667, -0.77565239,5.445427e+00,1
4.9000, -0.66403719,5.654867e+00,1
4.9333, -0.42619157,5.864306e+00,1
4.9667, -0.30088504,6.073746e+00,1
5.0000,  0.04025471,0,1
5.0333,  0.20791169,2.094395e-01,0
5.0667,  0.31472834,4.188790e-01,1
5.1000,  0.57071052,6.283185e-01,1
5.1333,  0.76382643,8.377580e-01,1
5.1667,  0.82243062,1.047198e+00,1
5.2000,  1.05604267,1.256637e+00,1
5.2333,  1.10295947,1.466077e+00,1
5.2667,  1.03186827,1.675516e+00,1
5.3000,  0.96615389,1.884956e+00,1
5.3333,  0.91838531,2.094395e+00,1
5.3667,  0.80370174,2.303835e+00,1
5.4000,  0.60979731,2.513274e+00,1
5.4333,  0.43316816,2.722714e+00,1
5.4667,  0.28123499,2.932153e+00,1
5.5000, -0.12941842,3.141593e+00,1
5.5333, -0.19452045,3.351032e+00,1
5.5667, -0.45314101,3.560472e+00,1
5.6000, -0.54535437,3.769911e+00,1
5.6333, -0.81117650,3.979351e+00,1
5.6667, -0.93301878,4.188790e+00,1
5.7000, -1.03680995,4.398230e+00,1
5.7333, -0.99452190,4.607669e+00,0
5.7667, -0.99452190,4.817109e+00,0
5.8000, -0.93233785,5.026548e+00,1
5.8333, -0.82289584,5.235988e+00,1
5.8667, -0.85880766,5.445427e+00,1
5.9000, -0.58778525,5.654867e+00,0
5.9333, -0.29212463,5.864306e+00,1
5.9667, -0.14794913,6.073746e+00,1
6.0000,  0.04836261,0,1
6.0333,  0.31819049,2.094395e-01,1
6.0667,  0.37742737,4.188790e-01,1
6.1000,  0.61039981,6.283185e-01,1
6.1333,  0.75984273,8.377580e-01,1
6.1667,  0.86602540,1.047198e+00,0
6.2000,  0.90884259,1.256637e+00,1
6.2333,  0.92138545,1.466077e+00,1
6.2667,  0.95407658,1.675516e+00,1
6.3000,  0.92784705,1.884956e+00,1
6.3333,  0.87871939,2.094395e+00,1
6.3667,  0.74314483,2.303835e+00,0
6.4000,  0.69833376,2.513274e+00,1
6.4333,  0.38680028,2.722714e+00,1
6.4667,  0.20791169,2.932153e+00,0
6.5000, -0.15056789,3.141593e+00,1
6.5333, -0.14862248,3.351032e+00,1
6.5667, -0.40673664,3.560472e+00,0
6.6000, -0.60177308,3.769911e+00,1
6.6333, -0.80907669,3.979351e+00,1
6.6667, -0.99297675,4.188790e+00,1
6.7000, -0.93651351,4.398230e+00,1
6.7333, -0.91418405,4.607669e+00,1
6.7667, -0.98325420,4.817109e+00,1
6.8000, -0.86343807,5.026548e+00,1
6.8333, -0.80079112,5.235988e+00,1
6.8667, -0.81035454,5.445427e+00,1
6.9000, -0.51502326,5.654867e+00,1
6.9333, -0.33451239,5.864306e+00,1
6.9667, -0.17099807,6.073746e+00,1
7.0000,  0.10399246,0,1
7.0333,  0.32522723,2.094395e-01,1
7.0667,  0.40673664,4.188790e-01,0
7.1000,  0.70834400,6.283185e-01,1
7.1333,  0.72718486,8.377580e-01,1
7.1667,  0.89668860,1.047198e+00,1
7.2000,  0.95105652,1.256637e+00,0
7.2333,  0.96791040,1.466077e+00,1
7.2667,  1.00898089,1.675516e+00,1
7.3000,  0.98617755,1.884956e+00,1
7.3333,  0.90524577,2.094395e+00,1
7.3667,  0.72030078,2.303835e+00,1
7.4000,  0.47990933,2.513274e+00,1
7.4333,  0.45470639,2.722714e+00,1
7.4667,  0.22096695,2.932153e+00,1
7.5000,  0.05823236,3.141593e+00,1
