time_stamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000, -0.04569675,0,1
0.0333, -0.08048379,2.096489e-01,1
0.0667, -0.02628926,4.192979e-01,1
0.1000, -0.02945124,6.289468e-01,1
0.1333,  0.00000000,8.385958e-01,0
0.1667,  0.09621827,1.048245e+00,1
0.2000,  0.02159334,1.257894e+00,1
0.2333, -0.01040614,1.467543e+00,1
0.2667, -0.03440769,1.677192e+00,1
0.3000,  0.04723925,1.886841e+00,1
0.3333,  0.03299012,2.096489e+00,1
0.3667,  0.04810860,2.306138e+00,1
0.4000,  0.02991392,2.515787e+00,1
0.4333, -0.07825882,2.725436e+00,1
0.4667,  0.00000000,2.935085e+00,0
0.5000,  0.05133302,3.144734e+00,1
0.5333, -0.06441374,3.354383e+00,1
0.5667, -0.02722526,3.564032e+00,1
0.6000,  0.03210602,3.773681e+00,1
0.6333,  0.01702316,3.983330e+00,1
0.6667,  0.02832109,4.192979e+00,1
0.7000,  0.06152440,4.402628e+00,1
0.7333,  0.01502951,4.612277e+00,1
0.7667,  0.04857831,4.821926e+00,1
0.8000,  0.08018509,5.031575e+00,1
0.8333, -0.10934127,5.241224e+00,1
0.8667,  0.02291966,5.450873e+00,1
0.9000,  0.00000000,5.660522e+00,0
0.9333,  0.93730768,5.870171e+00,1
0.9667, -0.04094976,6.079820e+00,1
1.0000,  0.01670063,6.283185e-03,1
1.0333,  0.03008523,2.159321e-01,1
1.0667, -0.02054572,4.255811e-01,1
1.1000,  0.04799653,6.352300e-01,1
1.1333, -0.01140583,8.448790e-01,1
1.1667,  0.06290545,1.054528e+00,1
1.2000,  0.06070122,1.264177e+00,1
1.2333,  0.03435115,1.473826e+00,1
1.2667, -0.09987923,1.683475e+00,1
1.3000,  0.06361185,1.893124e+00,1
1.3333,  0.07328138,2.102773e+00,1
1.3667,  0.02629721,2.312422e+00,1
1.4000,  0.00000000,2.522071e+00,0
1.4333, -0.03698320,2.731720e+00,1
1.4667,  0.12662865,2.941368e+00,1
1.5000, -0.01480380,3.151017e+00,1
1.5333, -0.02418378,3.360666e+00,1
1.5667, -0.08096191,3.570315e+00,1
1.6000, -0.04729433,3.779964e+00,1
1.6333,  0.03023954,3.989613e+00,1
1.6667,  0.02491849,4.199262e+00,1
1.7000, -0.07086048,4.408911e+00,1
1.7333,  0.03596345,4.618560e+00,1
1.7667, -0.03426689,4.828209e+00,1
1.8000,  0.05777554,5.037858e+00,1
1.8333,  0.00000000,5.247507e+00,0
1.8667,  0.00000000,5.457156e+00,0
1.9000,  0.00000000,5.666805e+00,0
1.9333,  0.93837891,5.876454e+00,1
1.9667, -0.09520311,6.086103e+00,1
2.0000,  0.03372771,1.256637e-02,1
2.0333,  0.03984755,2.222153e-01,1
2.0667,  0.03373066,4.318643e-01,1
2.1000, -0.06723046,6.415132e-01,1
2.1333,  0.04733093,8.511622e-01,1
2.1667,  0.00000000,1.060811e+00,0
2.2000, -0.03869224,1.270460e+00,1
2.2333, -0.03060446,1.480109e+00,1
2.2667,  0.04249262,1.689758e+00,1
2.3000,  0.08789087,1.899407e+00,1
2.3333,  0.00000000,2.109056e+00,0
2.3667,  0.08182285,2.318705e+00,1
2.4000, -0.07548745,2.528354e+00,1
2.4333, -0.03686841,2.738003e+00,1
2.4667, -0.14157911,2.947652e+00,1
2.5000,  0.07400078,3.157301e+00,1
2.5333, -0.02636304,3.366950e+00,1
2.5667, -0.02709147,3.576599e+00,1
2.6000, -0.05121954,3.786247e+00,1
2.6333,  0.04520793,3.995896e+00,1
2.6667,  0.01274299,4.205545e+00,1
2.7000, -0.05519381,4.415194e+00,1
2.7333, -0.01039763,4.624843e+00,1
2.7667,  0.03898223,4.834492e+00,1
2.8000, -0.05970270,5.044141e+00,1
2.8333,  0.04070208,5.253790e+00,1
2.8667,  0.01318111,5.463439e+00,1
2.9000,  0.06048285,5.673088e+00,1
2.9333,  0.93477732,5.882737e+00,1
2.9667,  0.00000000,6.092386e+00,0
3.0000, -0.09711844,1.884956e-02,1
3.0333,  0.03128826,2.284985e-01,1
3.0667, -0.02001407,4.381475e-01,1
3.1000, -0.04263485,6.477964e-01,1
3.1333,  0.05462919,8.574454e-01,1
3.1667, -0.01604410,1.067094e+00,1
3.2000, -0.01042980,1.276743e+00,1
3.2333, -0.03960291,1.486392e+00,1
3.2667,  0.04803957,1.696041e+00,1
3.3000, -0.11699994,1.905690e+00,1
3.3333,  0.08404769,2.115339e+00,1
3.3667,  0.00000000,2.324988e+00,0
3.4000, -0.05442757,2.534637e+00,1
3.4333, -0.03674261,2.744286e+00,1
3.4667,  0.03221000,2.953935e+00,1
3.5000,  0.02980059,3.163584e+00,1
3.5333, -0.06521316,3.373233e+00,1
3.5667,  0.03524777,3.582882e+00,1
3.6000,  0.02456026,3.792531e+00,1
3.6333,  0.00000000,4.002180e+00,0
3.6667, -0.10283679,4.211829e+00,1
3.7000,  0.00000000,4.421478e+00,0
3.7333, -0.01957472,4.631126e+00,1
3.7667,  0.00000000,4.840775e+00,0
3.8000,  0.07853616,5.050424e+00,1
3.8333,  0.07506631,5.260073e+00,1
3.8667, -0.02852391,5.469722e+00,1
3.9000,  0.00000000,5.679371e+00,0
3.9333,  1.02236333,5.889020e+00,1
3.9667,  0.07925525,6.098669e+00,1
4.0000,  0.09955954,2.513274e-02,1
4.0333,  0.02841990,2.347817e-01,1
4.0667,  0.00000000,4.444306e-01,0
4.1000,  0.04989452,6.540796e-01,1
4.1333,  0.00000000,8.637285e-01,0
4.1667,  0.00000000,1.073377e+00,0
4.2000,  0.05787314,1.283026e+00,1
4.2333,  0.07617064,1.492675e+00,1
4.2667, -0.05825275,1.702324e+00,1
4.3000, -0.05482469,1.911973e+00,1
4.3333, -0.05536807,2.121622e+00,1
4.3667,  0.06780464,2.331271e+00,1
4.4000,  0.05698170,2.540920e+00,1
4.4333,  0.00000000,2.750569e+00,0
4.4667, -0.03247087,2.960218e+00,1
4.5000, -0.06806470,3.169867e+00,1
4.5333,  0.06647204,3.379516e+00,1
4.5667, -0.01851802,3.589165e+00,1
4.6000, -0.01562008,3.798814e+00,1
4.6333,  0.08633605,4.008463e+00,1
4.6667,  0.00000000,4.218112e+00,0
4.7000, -0.04931235,4.427761e+00,1
4.7333, -0.02245384,4.637410e+00,1
4.7667, -0.12834797,4.847059e+00,1
4.8000,  0.06655430,5.056708e+00,1
4.8333,  0.01138220,5.266356e+00,1
4.8667, -0.03740201,5.476005e+00,1
4.9000, -0.04708019,5.685654e+00,1
4.9333,  0.97276942,5.895303e+00,1
4.9667, -0.05050936,6.104952e+00,1
5.0000,  0.03281855,3.141593e-02,1
5.0333,  0.01247883,2.410649e-01,1
5.0667,  0.01605461,4.507138e-01,1
5.1000, -0.02328629,6.603628e-01,1
5.1333, -0.09159322,8.700117e-01,1
5.1667, -0.02378005,1.079661e+00,1
5.2000, -0.06801685,1.289310e+00,1
5.2333, -0.01324511,1.498959e+00,1
5.2667, -0.08116095,1.708608e+00,1
5.3000,  0.00000000,1.918256e+00,0
5.3333,  0.08093039,2.127905e+00,1
5.3667,  0.00000000,2.337554e+00,0
5.4000, -0.04138465,2.547203e+00,1
5.4333, -0.07186700,2.756852e+00,1
5.4667, -0.02927996,2.966501e+00,1
5.5000,  0.02153482,3.176150e+00,1
5.5333,  0.01081893,3.385799e+00,1
5.5667, -0.01420098,3.595448e+00,1
5.6000, -0.08078062,3.805097e+00,1
5.6333, -0.13154245,4.014746e+00,1
5.6667,  0.00000000,4.224395e+00,0
5.7000,  0.00000000,4.434044e+00,0
5.7333,  0.00000000,4.643693e+00,0
5.7667,  0.00000000,4.853342e+00,0
5.8000, -0.07287316,5.062991e+00,1
5.8333, -0.05704048,5.272640e+00,1
5.8667,  0.00000000,5.482289e+00,0
5.9000,  0.07426428,5.691938e+00,1
5.9333,  1.05912484,5.901587e+00,1
5.9667,  0.01963716,6.111235e+00,1
6.0000, -0.02003799,3.769911e-02,1
6.0333,  0.00000000,2.473481e-01,0
6.0667,  0.05422022,4.569970e-01,1
6.1000, -0.05054490,6.666460e-01,1
6.1333, -0.09908339,8.762949e-01,1
6.1667, -0.01255211,1.085944e+00,1
6.2000, -0.05349102,1.295593e+00,1
6.2333,  0.02125606,1.505242e+00,1
6.2667,  0.00000000,1.714891e+00,0
6.3000, -0.02339096,1.924540e+00,1
6.3333,  0.02789730,2.134189e+00,1
6.3667, -0.13990134,2.343838e+00,1
6.4000, -0.05016449,2.553487e+00,1
6.4333, -0.09767765,2.763135e+00,1
6.4667,  0.13552214,2.972784e+00,1
6.5000,  0.14652770,3.182433e+00,1
6.5333,  0.03486825,3.392082e+00,1
6.5667, -0.06580118,3.601731e+00,1
6.6000, -0.04228896,3.811380e+00,1
6.6333,  0.06123552,4.021029e+00,1
6.6667, -0.04368077,4.230678e+00,1
6.7000, -0.06855518,4.440327e+00,1
6.7333, -0.05451031,4.649976e+00,1
6.7667,  0.04346381,4.859625e+00,1
6.8000, -0.04124479,5.069274e+00,1
6.8333,  0.05501997,5.278923e+00,1
6.8667,  0.04575527,5.488572e+00,1
6.9000,  0.05917963,5.698221e+00,1
6.9333,  0.95670376,5.907870e+00,1
6.9667,  0.00000000,6.117519e+00,0
7.0000, -0.04266362,4.398230e-02,1
7.0333, -0.08268730,2.536312e-01,1
7.0667,  0.11326811,4.632802e-01,1
7.1000,  0.00000000,6.729291e-01,0
7.1333, -0.01068665,8.825781e-01,1
7.1667,  0.02098672,1.092227e+00,1
7.2000, -0.01092113,1.301876e+00,1
7.2333,  0.15522651,1.511525e+00,1
7.2667, -0.05950899,1.721174e+00,1
7.3000,  0.00000000,1.930823e+00,0
7.3333, -0.03113565,2.140472e+00,1
7.3667, -0.07555821,2.350121e+00,1
7.4000,  0.05596481,2.559770e+00,1
7.4333, -0.03766269,2.769419e+00,1
