time_stamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000, -0.01827748,0,1
0.0333,  0.02523282,2.094395e-01,1
0.0667, -0.01078573,4.188790e-01,1
0.1000,  0.03449851,6.283185e-01,1
0.1333,  0.02466594,8.377580e-01,1
0.1667,  0.05963389,1.047198e+00,1
0.2000,  0.10005953,1.256637e+00,1
0.2333,  0.05440305,1.466077e+00,1
0.2667, -0.12142856,1.675516e+00,1
0.3000,  0.04164934,1.884956e+00,1
0.3333, -0.08162411,2.094395e+00,1
0.3667,  0.09093943,2.303835e+00,1
0.4000, -0.02459140,2.513274e+00,1
0.4333,  0.04125885,2.722714e+00,1
0.4667, -0.02867909,2.932153e+00,1
0.5000, -0.02825204,3.141593e+00,1
0.5333,  0.01015997,3.351032e+00,1
0.5667,  0.05877867,3.560472e+00,1
0.6000, -0.03706107,3.769911e+00,1
0.6333,  0.07333552,3.979351e+00,1
0.6667, -0.06685594,4.188790e+00,1
0.7000,  0.00000000,4.398230e+00,0
0.7333,  0.03118786,4.607669e+00,1
0.7667,  0.00000000,4.817109e+00,0
0.8000,  0.08766797,5.026548e+00,1
0.8333, -0.04667958,5.235988e+00,1
0.8667, -0.04597243,5.445427e+00,1
0.9000,  0.07559631,5.654867e+00,1
0.9333,  0.01716209,5.864306e+00,1
0.9667,  1.03749460,6.073746e+00,1
1.0000, -0.11371074,0,1
1.0333, -0.08285882,2.094395e-01,1
1.0667,  0.02975797,4.188790e-01,1
1.1000, -0.04681342,6.283185e-01,1
1.1333, -0.08299068,8.377580e-01,1
1.1667, -0.03997089,1.047198e+00,1
1.2000,  0.08432646,1.256637e+00,1
1.2333,  0.08319172,1.466077e+00,1
1.2667, -0.02069580,1.675516e+00,1
1.3000,  0.03104378,1.884956e+00,1
1.3333, -0.03412021,2.094395e+00,1
1.3667, -0.05247547,2.303835e+00,1
1.4000,  0.00000000,2.513274e+00,0
1.4333, -0.01522989,2.722714e+00,1
1.4667, -0.03603728,2.932153e+00,1
1.5000,  0.00000000,3.141593e+00,0
1.5333, -0.07691978,3.351032e+00,1
1.5667,  0.05049111,3.560472e+00,1
1.6000,  0.02076476,3.769911e+00,1
1.6333, -0.01639381,3.979351e+00,1
1.6667, -0.02475707,4.188790e+00,1
1.7000,  0.01141029,4.398230e+00,1
1.7333,  0.01918066,4.607669e+00,1
1.7667,  0.02133510,4.817109e+00,1
1.8000,  0.00000000,5.026548e+00,0
1.8333,  0.04754808,5.235988e+00,1
1.8667, -0.01928337,5.445427e+00,1
1.9000, -0.02355615,5.654867e+00,1
1.9333,  0.11904045,5.864306e+00,1
1.9667,  1.06498180,6.073746e+00,1
2.0000,  0.01741631,0,1
2.0333,  0.00000000,2.094395e-01,0
2.0667,  0.03743957,4.188790e-01,1
2.1000, -0.01093141,6.283185e-01,1
2.1333,  0.03043467,8.377580e-01,1
2.1667,  0.01176596,1.047198e+00,1
2.2000,  0.06552112,1.256637e+00,1
2.2333,  0.09647827,1.466077e+00,1
2.2667,  0.01298538,1.675516e+00,1
2.3000, -0.03972554,1.884956e+00,1
2.3333,  0.00000000,2.094395e+00,0
2.3667, -0.04008790,2.303835e+00,1
2.4000,  0.05224189,2.513274e+00,1
2.4333, -0.03965803,2.722714e+00,1
2.4667, -0.02359976,2.932153e+00,1
2.5000,  0.02409726,3.141593e+00,1
2.5333,  0.00000000,3.351032e+00,0
2.5667, -0.05236364,3.560472e+00,1
2.6000,  0.06397334,3.769911e+00,1
2.6333,  0.00000000,3.979351e+00,0
2.6667,  0.03268636,4.188790e+00,1
2.7000,  0.03379831,4.398230e+00,1
2.7333,  0.09338866,4.607669e+00,1
2.7667, -0.01110002,4.817109e+00,1
2.8000,  0.07039268,5.026548e+00,1
2.8333,  0.02187066,5.235988e+00,1
2.8667,  0.05612445,5.445427e+00,1
2.9000,  0.09707367,5.654867e+00,1
2.9333,  0.07041146,5.864306e+00,1
2.9667,  0.98463386,6.073746e+00,1
3.0000,  0.06516688,0,1
3.0333, -0.07364416,2.094395e-01,1
3.0667, -0.04094849,4.188790e-01,1
3.1000,  0.00000000,6.283185e-01,0
3.1333, -0.06054421,8.377580e-01,1
3.1667, -0.06520470,1.047198e+00,1
3.2000, -0.03777831,1.256637e+00,1
3.2333,  0.07732140,1.466077e+00,1
3.2667,  0.08125340,1.675516e+00,1
3.3000, -0.05647953,1.884956e+00,1
3.3333,  0.00000000,2.094395e+00,0
3.3667, -0.06102012,2.303835e+00,1
3.4000,  0.00000000,2.513274e+00,0
3.4333,  0.00000000,2.722714e+00,0
3.4667, -0.02723421,2.932153e+00,1
3.5000,  0.00000000,3.141593e+00,0
3.5333,  0.08008370,3.351032e+00,1
3.5667, -0.06434270,3.560472e+00,1
3.6000, -0.02475848,3.769911e+00,1
3.6333,  0.08289123,3.979351e+00,1
3.6667,  0.11845592,4.188790e+00,1
3.7000,  0.00000000,4.398230e+00,0
3.7333,  0.03402875,4.607669e+00,1
3.7667,  0.05194706,4.817109e+00,1
3.8000,  0.03526905,5.026548e+00,1
3.8333,  0.00000000,5.235988e+00,0
3.8667, -0.01258521,5.445427e+00,1
3.9000,  0.02538815,5.654867e+00,1
3.9333,  0.05114332,5.864306e+00,1
3.9667,  1.05205546,6.073746e+00,1
4.0000,  0.03253653,0,1
4.0333, -0.06078098,2.094395e-01,1
4.0667, -0.01003542,4.188790e-01,1
4.1000, -0.05440249,6.283185e-01,1
4.1333,  0.00000000,8.377580e-01,0
4.1667, -0.04620518,1.047198e+00,1
4.2000,  0.00000000,1.256637e+00,0
4.2333, -0.03708871,1.466077e+00,1
4.2667, -0.01853030,1.675516e+00,1
4.3000,  0.00000000,1.884956e+00,0
4.3333, -0.03125827,2.094395e+00,1
4.3667, -0.01192359,2.303835e+00,1
4.4000, -0.03463404,2.513274e+00,1
4.4333, -0.02342824,2.722714e+00,1
4.4667,  0.01298513,2.932153e+00,1
4.5000,  0.00000000,3.141593e+00,0
4.5333, -0.06482923,3.351032e+00,1
4.5667,  0.05796476,3.560472e+00,1
4.6000, -0.02220241,3.769911e+00,1
4.6333, -0.05626765,3.979351e+00,1
4.6667, -0.07151556,4.188790e+00,1
4.7000,  0.03387298,4.398230e+00,1
4.7333,  0.01515557,4.607669e+00,1
4.7667, -0.05228187,4.817109e+00,1
4.8000,  0.02840453,5.026548e+00,1
4.8333,  0.00000000,5.235988e+00,0
4.8667,  0.10654973,5.445427e+00,1
4.9000,  0.04463536,5.654867e+00,1
4.9333,  0.01743441,5.864306e+00,1
4.9667,  1.02115517,6.073746e+00,1
5.0000,  0.01248788,0,1
5.0333,  0.00000000,2.094395e-01,0
5.0667,  0.05654619,4.188790e-01,1
5.1000,  0.04815140,6.283185e-01,1
5.1333,  0.02293986,8.377580e-01,1
5.1667, -0.01869276,1.047198e+00,1
5.2000, -0.03138933,1.256637e+00,1
5.2333, -0.01690468,1.466077e+00,1
5.2667,  0.04404421,1.675516e+00,1
5.3000,  0.03135823,1.884956e+00,1
5.3333,  0.00000000,2.094395e+00,0
5.3667, -0.05777713,2.303835e+00,1
5.4000, -0.08762360,2.513274e+00,1
5.4333,  0.02260420,2.722714e+00,1
5.4667,  0.01110397,2.932153e+00,1
5.5000,  0.04374781,3.141593e+00,1
5.5333,  0.02378344,3.351032e+00,1
5.5667,  0.03828659,3.560472e+00,1
5.6000,  0.00000000,3.769911e+00,0
5.6333, -0.06571071,3.979351e+00,1
5.6667,  0.08854287,4.188790e+00,1
5.7000,  0.11864349,4.398230e+00,1
5.7333, -0.08317983,4.607669e+00,1
5.7667, -0.09245657,4.817109e+00,1
5.8000,  0.08439593,5.026548e+00,1
5.8333,  0.09715343,5.235988e+00,1
5.8667,  0.00000000,5.445427e+00,0
5.9000, -0.03788962,5.654867e+00,1
5.9333,  0.03035115,5.864306e+00,1
5.9667,  0.97532029,6.073746e+00,1
6.0000, -0.03285356,0,1
6.0333,  0.00000000,2.094395e-01,0
6.0667,  0.06014653,4.188790e-01,1
6.1000,  0.04577790,6.283185e-01,1
6.1333,  0.01465633,8.377580e-01,1
6.1667, -0.04347804,1.047198e+00,1
6.2000,  0.01797391,1.256637e+00,1
6.2333, -0.05018101,1.466077e+00,1
6.2667,  0.07979234,1.675516e+00,1
6.3000,  0.01093381,1.884956e+00,1
6.3333,  0.00000000,2.094395e+00,0
6.3667,  0.02414340,2.303835e+00,1
6.4000,  0.10430892,2.513274e+00,1
6.4333, -0.09566861,2.722714e+00,1
6.4667,  0.07170758,2.932153e+00,1
6.5000, -0.05757429,3.141593e+00,1
6.5333,  0.06173280,3.351032e+00,1
6.5667,  0.04595975,3.560472e+00,1
6.6000, -0.06050208,3.769911e+00,1
6.6333, -0.01871787,3.979351e+00,1
6.6667,  0.01374144,4.188790e+00,1
6.7000,  0.00000000,4.398230e+00,0
6.7333,  0.02940832,4.607669e+00,1
6.7667,  0.01423314,4.817109e+00,1
6.8000,  0.02841947,5.026548e+00,1
6.8333,  0.00000000,5.235988e+00,0
6.8667, -0.02748183,5.445427e+00,1
6.9000,  0.00000000,5.654867e+00,0
6.9333,  0.05705707,5.864306e+00,1
6.9667,  1.03778032,6.073746e+00,1
7.0000, -0.06389581,0,1
7.0333, -0.12479253,2.094395e-01,1
7.0667, -0.04126284,4.188790e-01,1
7.1000,  0.02963153,6.283185e-01,1
7.1333,  0.03598756,8.377580e-01,1
7.1667, -0.08137280,1.047198e+00,1
7.2000,  0.02630758,1.256637e+00,1
7.2333, -0.03719916,1.466077e+00,1
7.2667,  0.00000000,1.675516e+00,0
7.3000, -0.01162807,1.884956e+00,1
7.3333,  0.01201810,2.094395e+00,1
7.3667, -0.02039376,2.303835e+00,1
7.4000,  0.01711776,2.513274e+00,1
7.4333,  0.02238871,2.722714e+00,1
7.4667, -0.03398378,2.932153e+00,1
7.5000,  0.04701625,3.141593e+00,1
