time_stamp,function,phase,has_anomaly,anomaly_score,anomaly_likelihood
0.0000,  0.00000000,0,0,1.0,0.5
0.0333,  0.20791169,2.094395e-01,0,1.0,0.5
0.0667,  0.40673664,4.188790e-01,0,1.0,0.5
0.1000,  0.58778525,6.283185e-01,0,1.0,0.5
0.1333,  0.74314483,8.377580e-01,0,1.0,0.5
0.1667,  0.86602540,1.047198e+00,0,1.0,0.5
0.2000,  0.95105652,1.256637e+00,0,1.0,0.5
0.2333,  0.99452190,1.466077e+00,0,1.0,0.5
0.2667,  0.99452190,1.675516e+00,0,1.0,0.5
0.3000,  0.95105652,1.884956e+00,0,1.0,0.5
0.3333,  0.86602540,2.094395e+00,0,0.97499999999999998,0.5
0.3667,  0.74314483,2.303835e+00,0,0.97499999999999998,0.5
0.4000,  0.58778525,2.513274e+00,0,1.0,0.5
0.4333,  0.40673664,2.722714e+00,0,1.0,0.5
0.4667,  0.20791169,2.932153e+00,0,0.92500000000000004,0.5
0.5000,  0.00000000,3.141593e+00,0,1.0,0.5
0.5333, -0.20791169,3.351032e+00,0,0.97499999999999998,0.5
0.5667, -0.40673664,3.560472e+00,0,0.97499999999999998,0.5
0.6000, -0.58778525,3.769911e+00,0,0.0,0.5
0.6333, -0.74314483,3.979351e+00,0,0.0,0.5
0.6667, -0.86602540,4.188790e+00,0,0.0,0.5
0.7000, -0.95105652,4.398230e+00,0,0.0,0.5
0.7333, -0.99452190,4.607669e+00,0,0.0,0.5
0.7667, -0.99452190,4.817109e+00,0,0.0,0.5
0.8000, -0.95105652,5.026548e+00,0,0.94999999999999996,0.5
0.8333, -0.86602540,5.235988e+00,0,1.0,0.5
0.8667, -0.74314483,5.445427e+00,0,1.0,0.5
0.9000, -0.58778525,5.654867e+00,0,1.0,0.5
0.9333, -0.40673664,5.864306e+00,0,1.0,0.5
0.9667, -0.20791169,6.073746e+00,0,1.0,0.5
1.0000, -0.00000000,0,0,1.0,0.5
1.0333,  0.20791169,2.094395e-01,0,1.0,0.5
1.0667,  0.40673664,4.188790e-01,0,1.0,0.5
1.1000,  0.58778525,6.283185e-01,0,1.0,0.5
1.1333,  0.74314483,8.377580e-01,0,1.0,0.5
1.1667,  0.86602540,1.047198e+00,0,1.0,0.5
1.2000,  0.95105652,1.256637e+00,0,1.0,0.5
1.2333,  0.99452190,1.466077e+00,0,1.0,0.5
1.2667,  0.99452190,1.675516e+00,0,0.47499999999999998,0.5
1.3000,  0.95105652,1.884956e+00,0,0.94999999999999996,0.5
1.3333,  0.86602540,2.094395e+00,0,1.0,0.5
1.3667,  0.74314483,2.303835e+00,0,0.97499999999999998,0.5
1.4000,  0.58778525,2.513274e+00,0,0.94999999999999996,0.5
1.4333,  0.40673664,2.722714e+00,0,0.94999999999999996,0.5
1.4667,  0.20791169,2.932153e+00,0,1.0,0.5
1.5000,  0.00000000,3.141593e+00,0,1.0,0.5
1.5333, -0.20791169,3.351032e+00,0,0.97499999999999998,0.5
1.5667, -0.40673664,3.560472e+00,0,0.92500000000000004,0.5
1.6000, -0.58778525,3.769911e+00,0,1.0,0.5
1.6333, -0.74314483,3.979351e+00,0,0.97499999999999998,0.5
1.6667, -0.86602540,4.188790e+00,0,1.0,0.5
1.7000, -0.95105652,4.398230e+00,0,1.0,0.5
1.7333, -0.99452190,4.607669e+00,0,0.97499999999999998,0.5
1.7667, -0.99452190,4.817109e+00,0,0.0,0.5
1.8000, -0.95105652,5.026548e+00,0,0.0,0.5
1.8333, -0.86602540,5.235988e+00,0,0.0,0.5
1.8667, -0.74314483,5.445427e+00,0,0.0,0.5
1.9000, -0.58778525,5.654867e+00,0,0.025000000000000001,0.5
1.9333, -0.40673664,5.864306e+00,0,0.025000000000000001,0.5
1.9667, -0.20791169,6.073746e+00,0,0.0,0.5
2.0000, -0.00000000,0,0,0.0,0.5
2.0333,  0.20791169,2.094395e-01,0,0.0,0.5
2.0667,  0.40673664,4.188790e-01,0,0.0,0.5
2.1000,  0.58778525,6.283185e-01,0,0.0,0.5
2.1333,  0.74314483,8.377580e-01,0,0.0,0.5
2.1667,  0.86602540,1.047198e+00,0,0.0,0.5
2.2000,  0.95105652,1.256637e+00,0,0.0,0.5
2.2333,  0.99452190,1.466077e+00,0,0.0,0.5
2.2667,  0.99452190,1.675516e+00,0,0.0,0.5
2.3000,  0.95105652,1.884956e+00,0,0.0,0.5
2.3333,  0.86602540,2.094395e+00,0,0.0,0.5
2.3667,  0.74314483,2.303835e+00,0,0.0,0.5
2.4000,  0.58778525,2.513274e+00,0,0.025000000000000001,0.5
2.4333,  0.40673664,2.722714e+00,0,0.0,0.5
2.4667,  0.20791169,2.932153e+00,0,0.0,0.5
2.5000,  0.00000000,3.141593e+00,0,0.0,0.5
2.5333, -0.20791169,3.351032e+00,0,0.0,0.5
2.5667, -0.40673664,3.560472e+00,0,0.0,0.5
