time, function, period, anomaly
float, float, int, bool
,,,
0.0000,   0.00000000, 1, 0
0.0500,   0.30901699, 2, 0
0.1000,   0.58778525, 3, 0
0.1500,   0.80901699, 4, 0
0.2000,   0.95105652, 5, 0
0.2500,   1.00000000, 6, 0
0.3000,   0.95105652, 7, 0
0.3500,   0.80901699, 8, 0
0.4000,   0.58778525, 9, 0
0.4500,   0.30901699, 10, 0
0.5000,   0.00000000, 11, 0
0.5500,  -0.30901699, 12, 0
0.6000,  -0.58778525, 13, 0
0.6500,  -0.80901699, 14, 0
0.7000,  -0.95105652, 15, 0
0.7500,  -1.00000000, 16, 0
0.8000,  -0.95105652, 17, 0
0.8500,  -0.80901699, 18, 0
0.9000,  -0.58778525, 19, 0
0.9500,  -0.30901699, 20, 0
1.0000,  -0.00000000, 1, 0
1.0500,   0.30901699, 2, 0
1.1000,   0.58778525, 3, 0
1.1500,   0.80901699, 4, 0
1.2000,   0.95105652, 5, 0
1.2500,   1.00000000, 6, 0
1.3000,   0.95105652, 7, 0
1.3500,   0.80901699, 8, 0
1.4000,   0.58778525, 9, 0
1.4500,   0.30901699, 10, 0
1.5000,   0.00000000, 11, 0
1.5500,  -0.30901699, 12, 0
1.6000,  -0.58778525, 13, 0
1.6500,  -0.80901699, 14, 0
1.7000,  -0.95105652, 15, 0
1.7500,  -1.00000000, 16, 0
1.8000,  -0.95105652, 17, 0
1.8500,  -0.80901699, 18, 0
1.9000,  -0.58778525, 19, 0
1.9500,  -0.30901699, 20, 0
2.0000,  -0.00000000, 1, 0
2.0500,   0.30901699, 2, 0
2.1000,   0.58778525, 3, 0
2.1500,   0.80901699, 4, 0
2.2000,   0.95105652, 5, 0
2.2500,   1.00000000, 6, 0
2.3000,   0.95105652, 7, 0
2.3500,   0.80901699, 8, 0
2.4000,   0.58778525, 9, 0
2.4500,   0.30901699, 10, 0
2.5000,   0.00000000, 11, 0
2.5500,  -0.30901699, 12, 0
2.6000,  -0.58778525, 13, 0
2.6500,  -0.80901699, 14, 0
2.7000,  -0.95105652, 15, 0
2.7500,  -1.00000000, 16, 0
2.8000,  -0.95105652, 17, 0
2.8500,  -0.80901699, 18, 0
2.9000,  -0.58778525, 19, 0
2.9500,  -0.30901699, 20, 0
3.0000,  -0.00000000, 1, 0
3.0500,   0.30901699, 2, 0
3.1000,   0.58778525, 3, 0
3.1500,   0.80901699, 4, 0
3.2000,   0.95105652, 5, 0
3.2500,   1.00000000, 6, 0
3.3000,   0.95105652, 7, 0
3.3500,   0.80901699, 8, 0
3.4000,   0.58778525, 9, 0
3.4500,   0.30901699, 10, 0
3.5000,   0.00000000, 11, 0
3.5500,  -0.30901699, 12, 0
3.6000,  -0.58778525, 13, 0
3.6500,  -0.80901699, 14, 0
3.7000,  -0.95105652, 15, 0
3.7500,  -1.00000000, 16, 0
3.8000,  -0.95105652, 17, 0
3.8500,  -0.80901699, 18, 0
3.9000,  -0.58778525, 19, 0
3.9500,  -0.30901699, 20, 0
4.0000,  -0.00000000, 1, 0
4.0500,   0.30901699, 2, 0
4.1000,   0.58778525, 3, 0
4.1500,   0.80901699, 4, 0
4.2000,   0.95105652, 5, 0
4.2500,   1.00000000, 6, 0
4.3000,   0.95105652, 7, 0
4.3500,   0.80901699, 8, 0
4.4000,   0.58778525, 9, 0
4.4500,   0.30901699, 10, 0
4.5000,   0.00000000, 11, 0
4.5500,  -0.30901699, 12, 0
4.6000,  -0.58778525, 13, 0
4.6500,  -0.80901699, 14, 0
4.7000,  -0.95105652, 15, 0
4.7500,  -1.00000000, 16, 0
4.8000,  -0.95105652, 17, 0
4.8500,  -0.80901699, 18, 0
4.9000,  -0.58778525, 19, 0
4.9500,  -0.30901699, 20, 0
5.0000,  -0.00000000, 1, 0
5.0500,   0.30901699, 2, 0
5.1000,   0.58778525, 3, 0
5.1500,   0.80901699, 4, 0
5.2000,   0.95105652, 5, 0
5.2500,   1.00000000, 6, 0
5.3000,   0.95105652, 7, 0
5.3500,   0.80901699, 8, 0
5.4000,   0.58778525, 9, 0
5.4500,   0.30901699, 10, 0
5.5000,   0.00000000, 11, 0
5.5500,  -0.30901699, 12, 0
5.6000,  -0.58778525, 13, 0
5.6500,  -0.80901699, 14, 0
5.7000,  -0.95105652, 15, 0
5.7500,  -1.00000000, 16, 0
5.8000,  -0.95105652, 17, 0
5.8500,  -0.80901699, 18, 0
5.9000,  -0.58778525, 19, 0
5.9500,  -0.30901699, 20, 0
6.0000,  -0.00000000, 1, 0
6.0500,   0.30901699, 2, 0
6.1000,   0.58778525, 3, 0
6.1500,   0.80901699, 4, 0
6.2000,   0.95105652, 5, 0
6.2500,   1.00000000, 6, 0
6.3000,   0.95105652, 7, 0
6.3500,   0.80901699, 8, 0
6.4000,   0.58778525, 9, 0
6.4500,   0.30901699, 10, 0
6.5000,  -0.00000000, 11, 0
6.5500,  -0.30901699, 12, 0
6.6000,  -0.58778525, 13, 0
6.6500,  -0.80901699, 14, 0
6.7000,  -0.95105652, 15, 0
6.7500,  -1.00000000, 16, 0
6.8000,  -0.95105652, 17, 0
6.8500,  -0.80901699, 18, 0
6.9000,  -0.58778525, 19, 0
6.9500,  -0.30901699, 20, 0
7.0000,  -0.00000000, 1, 0
7.0500,   0.30901699, 2, 0
7.1000,   0.58778525, 3, 0
7.1500,   0.80901699, 4, 0
7.2000,   0.95105652, 5, 0
7.2500,   1.00000000, 6, 0
7.3000,   0.95105652, 7, 0
7.3500,   0.80901699, 8, 0
7.4000,   0.58778525, 9, 0
7.4500,   0.30901699, 10, 0
7.5000,   0.00000000, 11, 0
7.5500,  -0.30901699, 12, 0
7.6000,  -0.58778525, 13, 0
7.6500,  -0.80901699, 14, 0
7.7000,  -0.95105652, 15, 0
7.7500,  -1.00000000, 16, 0
7.8000,  -0.95105652, 17, 0
7.8500,  -0.80901699, 18, 0
7.9000,  -0.58778525, 19, 0
7.9500,  -0.30901699, 20, 0
8.0000,  -0.00000000, 1, 0
8.0500,   0.30901699, 2, 0
8.1000,   0.58778525, 3, 0
8.1500,   0.80901699, 4, 0
8.2000,   0.95105652, 5, 0
8.2500,   1.00000000, 6, 0
8.3000,   0.95105652, 7, 0
8.3500,   0.80901699, 8, 0
8.4000,   0.58778525, 9, 0
8.4500,   0.30901699, 10, 0
8.5000,  -0.00000000, 11, 0
8.5500,  -0.30901699, 12, 0
8.6000,  -0.58778525, 13, 0
8.6500,  -0.80901699, 14, 0
8.7000,  -0.95105652, 15, 0
8.7500,  -1.00000000, 16, 0
8.8000,  -0.95105652, 17, 0
8.8500,  -0.80901699, 18, 0
8.9000,  -0.58778525, 19, 0
8.9500,  -0.30901699, 20, 0
9.0000,  -0.00000000, 1, 0
9.0500,   0.30901699, 2, 0
9.1000,   0.58778525, 3, 0
9.1500,   0.80901699, 4, 0
9.2000,   0.95105652, 5, 0
9.2500,   1.00000000, 6, 0
9.3000,   0.95105652, 7, 0
9.3500,   0.80901699, 8, 0
9.4000,   0.58778525, 9, 0
9.4500,   0.30901699, 10, 0
9.5000,   0.00000000, 11, 0
9.5500,  -0.30901699, 12, 0
9.6000,  -0.58778525, 13, 0
9.6500,  -0.80901699, 14, 0
9.7000,  -0.95105652, 15, 0
9.7500,  -1.00000000, 16, 0
9.8000,  -0.95105652, 17, 0
9.8500,  -0.80901699, 18, 0
9.9000,  -0.58778525, 19, 0
9.9500,  -0.30901699, 20, 0
10.0000,  -0.00000000, 1, 0
10.0500,   0.30901699, 2, 0
10.1000,   0.58778525, 3, 0
10.1500,   0.80901699, 4, 0
10.2000,   0.95105652, 5, 0
10.2500,   1.00000000, 6, 0
10.3000,   0.95105652, 7, 0
10.3500,   0.80901699, 8, 0
10.4000,   0.58778525, 9, 0
10.4500,   0.30901699, 10, 0
10.5000,  -0.00000000, 11, 0
10.5500,  -0.30901699, 12, 0
10.6000,  -0.58778525, 13, 0
10.6500,  -0.80901699, 14, 0
10.7000,  -0.95105652, 15, 0
10.7500,  -1.00000000, 16, 0
10.8000,  -0.95105652, 17, 0
10.8500,  -0.80901699, 18, 0
10.9000,  -0.58778525, 19, 0
10.9500,  -0.30901699, 20, 0
11.0000,  -0.00000000, 1, 0
11.0500,   0.30901699, 2, 0
11.1000,   0.58778525, 3, 0
11.1500,   0.80901699, 4, 0
11.2000,   0.95105652, 5, 0
11.2500,   1.00000000, 6, 0
11.3000,   0.95105652, 7, 0
11.3500,   0.80901699, 8, 0
11.4000,   0.58778525, 9, 0
11.4500,   0.30901699, 10, 0
11.5000,   0.00000000, 11, 0
11.5500,  -0.30901699, 12, 0
11.6000,  -0.58778525, 13, 0
11.6500,  -0.80901699, 14, 0
11.7000,  -0.95105652, 15, 0
11.7500,  -1.00000000, 16, 0
11.8000,  -0.95105652, 17, 0
11.8500,  -0.80901699, 18, 0
11.9000,  -0.58778525, 19, 0
11.9500,  -0.30901699, 20, 0
12.0000,  -0.00000000, 1, 0
12.0500,   0.30901699, 2, 0
12.1000,   0.58778525, 3, 0
12.1500,   0.80901699, 4, 0
12.2000,   0.95105652, 5, 0
12.2500,   1.00000000, 6, 0
12.3000,   0.95105652, 7, 0
12.3500,   0.80901699, 8, 0
12.4000,   0.58778525, 9, 0
12.4500,   0.30901699, 10, 0
12.5000,  -0.00000000, 11, 0
12.5500,  -0.30901699, 12, 0
12.6000,  -0.58778525, 13, 0
12.6500,  -0.80901699, 14, 0
12.7000,  -0.95105652, 15, 0
12.7500,  -1.00000000, 16, 0
12.8000,  -0.95105652, 17, 0
12.8500,  -0.80901699, 18, 0
12.9000,  -0.58778525, 19, 0
12.9500,  -0.30901699, 20, 0
13.0000,   0.00000000, 1, 0
13.0500,   0.30901699, 2, 0
13.1000,   0.58778525, 3, 0
13.1500,   0.80901699, 4, 0
13.2000,   0.95105652, 5, 0
13.2500,   1.00000000, 6, 0
