time,function,period,anomaly
float,float,int,bool
,,,
0.0000,  0.00000000,1,0
0.0333,  0.20791169,2,0
0.0667,  0.40673664,3,0
0.1000,  0.58778525,4,0
0.1333,  0.74314483,5,0
0.1667,  0.86602540,6,0
0.2000,  0.95105652,7,0
0.2333,  0.99452190,8,0
0.2667,  0.99452190,9,0
0.3000,  0.95105652,10,0
0.3333,  0.86602540,11,0
0.3667,  0.74314483,12,0
0.4000,  0.58778525,13,0
0.4333,  0.40673664,14,0
0.4667,  0.20791169,15,0
0.5000,  0.00000000,16,0
0.5333, -0.20791169,17,0
0.5667, -0.40673664,18,0
0.6000, -0.58778525,19,0
0.6333, -0.74314483,20,0
0.6667, -0.86602540,21,0
0.7000, -0.95105652,22,0
0.7333, -0.99452190,23,0
0.7667, -0.99452190,24,0
0.8000, -0.95105652,25,0
0.8333, -0.86602540,26,0
0.8667, -0.74314483,27,0
0.9000, -0.58778525,28,0
0.9333, -0.40673664,29,0
0.9667, -0.20791169,30,0
1.0000, -0.00000000,1,0
1.0333,  0.20791169,2,0
1.0667,  0.40673664,3,0
1.1000,  0.58778525,4,0
1.1333,  0.74314483,5,0
1.1667,  0.86602540,6,0
1.2000,  0.95105652,7,0
1.2333,  0.99452190,8,0
1.2667,  0.99452190,9,0
1.3000,  0.95105652,10,0
1.3333,  0.86602540,11,0
1.3667,  0.74314483,12,0
1.4000,  0.58778525,13,0
1.4333,  0.40673664,14,0
1.4667,  0.20791169,15,0
1.5000,  0.00000000,16,0
1.5333, -0.20791169,17,0
1.5667, -0.40673664,18,0
1.6000, -0.58778525,19,0
1.6333, -0.74314483,20,0
1.6667, -0.86602540,21,0
1.7000, -0.95105652,22,0
1.7333, -0.99452190,23,0
1.7667, -0.99452190,24,0
1.8000, -0.95105652,25,0
1.8333, -0.86602540,26,0
1.8667, -0.74314483,27,0
1.9000, -0.58778525,28,0
1.9333, -0.40673664,29,0
1.9667, -0.20791169,30,0
2.0000, -0.00000000,1,0
2.0333,  0.20791169,2,0
2.0667,  0.40673664,3,0
2.1000,  0.58778525,4,0
2.1333,  0.74314483,5,0
2.1667,  0.86602540,6,0
2.2000,  0.95105652,7,0
2.2333,  0.99452190,8,0
2.2667,  0.99452190,9,0
2.3000,  0.95105652,10,0
2.3333,  0.86602540,11,0
2.3667,  0.74314483,12,0
2.4000,  0.58778525,13,0
2.4333,  0.40673664,14,0
2.4667,  0.20791169,15,0
2.5000,  0.00000000,16,0
2.5333, -0.20791169,17,0
2.5667, -0.40673664,18,0
2.6000, -0.58778525,19,0
2.6333, -0.74314483,20,0
2.6667, -0.86602540,21,0
2.7000, -0.95105652,22,0
2.7333, -0.99452190,23,0
2.7667, -0.99452190,24,0
2.8000, -0.95105652,25,0
2.8333, -0.86602540,26,0
2.8667, -0.74314483,27,0
2.9000, -0.58778525,28,0
2.9333, -0.40673664,29,0
2.9667, -0.20791169,30,0
3.0000, -0.00000000,1,0
3.0333,  0.20791169,2,0
3.0667,  0.40673664,3,0
3.1000,  0.58778525,4,0
3.1333,  0.74314483,5,0
3.1667,  0.86602540,6,0
3.2000,  0.95105652,7,0
3.2333,  0.99452190,8,0
3.2667,  0.99452190,9,0
3.3000,  0.95105652,10,0
3.3333,  0.86602540,11,0
3.3667,  0.74314483,12,0
3.4000,  0.58778525,13,0
3.4333,  0.40673664,14,0
3.4667,  0.20791169,15,0
3.5000,  0.00000000,16,0
3.5333, -0.20791169,17,0
3.5667, -0.40673664,18,0
3.6000, -0.58778525,19,0
3.6333, -0.74314483,20,0
3.6667, -0.86602540,21,0
3.7000, -0.95105652,22,0
3.7333, -0.99452190,23,0
3.7667, -0.99452190,24,0
3.8000, -0.95105652,25,0
3.8333, -0.86602540,26,0
3.8667, -0.74314483,27,0
3.9000, -0.58778525,28,0
3.9333, -0.40673664,29,0
3.9667, -0.20791169,30,0
4.0000, -0.00000000,1,0
4.0333,  0.20791169,2,0
4.0667,  0.40673664,3,0
4.1000,  0.58778525,4,0
4.1333,  0.74314483,5,0
4.1667,  0.86602540,6,0
4.2000,  0.95105652,7,0
4.2333,  0.99452190,8,0
4.2667,  0.99452190,9,0
4.3000,  0.95105652,10,0
4.3333,  0.86602540,11,0
4.3667,  0.74314483,12,0
4.4000,  0.58778525,13,0
4.4333,  0.40673664,14,0
4.4667,  0.20791169,15,0
4.5000,  0.00000000,16,0
4.5333, -0.20791169,17,0
4.5667, -0.40673664,18,0
4.6000, -0.58778525,19,0
4.6333, -0.74314483,20,0
4.6667, -0.86602540,21,0
4.7000, -0.95105652,22,0
4.7333, -0.99452190,23,0
4.7667, -0.99452190,24,0
4.8000, -0.95105652,25,0
4.8333, -0.86602540,26,0
4.8667, -0.74314483,27,0
4.9000, -0.58778525,28,0
4.9333, -0.40673664,29,0
4.9667, -0.20791169,30,0
5.0000, -0.00000000,1,0
5.0333,  0.20791169,2,0
5.0667,  0.40673664,3,0
5.1000,  0.58778525,4,0
5.1333,  0.74314483,5,0
5.1667,  0.86602540,6,0
5.2000,  0.95105652,7,0
5.2333,  0.99452190,8,0
5.2667,  0.99452190,9,0
5.3000,  0.95105652,10,0
5.3333,  0.86602540,11,0
5.3667,  0.74314483,12,0
5.4000,  0.58778525,13,0
5.4333,  0.40673664,14,0
5.4667,  0.20791169,15,0
5.5000,  0.00000000,16,0
5.5333, -0.20791169,17,0
5.5667, -0.40673664,18,0
5.6000, -0.58778525,19,0
5.6333, -0.74314483,20,0
5.6667, -0.86602540,21,0
5.7000, -0.95105652,22,0
5.7333, -0.99452190,23,0
5.7667, -0.99452190,24,0
5.8000, -0.95105652,25,0
5.8333, -0.86602540,26,0
5.8667, -0.74314483,27,0
5.9000, -0.58778525,28,0
5.9333, -0.40673664,29,0
5.9667, -0.20791169,30,0
6.0000, -0.00000000,1,0
6.0333,  0.20791169,2,0
6.0667,  0.40673664,3,0
6.1000,  0.58778525,4,0
6.1333,  0.74314483,5,0
6.1667,  0.86602540,6,0
6.2000,  0.95105652,7,0
6.2333,  0.99452190,8,0
6.2667,  0.99452190,9,0
6.3000,  0.95105652,10,0
6.3333,  0.86602540,11,0
6.3667,  0.74314483,12,0
6.4000,  0.58778525,13,0
6.4333,  0.40673664,14,0
6.4667,  0.20791169,15,0
6.5000, -0.00000000,16,0
6.5333, -0.20791169,17,0
6.5667, -0.40673664,18,0
6.6000, -0.58778525,19,0
6.6333, -0.74314483,20,0
6.6667, -0.86602540,21,0
6.7000, -0.95105652,22,0
6.7333, -0.99452190,23,0
6.7667, -0.99452190,24,0
6.8000, -0.95105652,25,0
6.8333, -0.86602540,26,0
6.8667, -0.74314483,27,0
6.9000, -0.58778525,28,0
6.9333, -0.40673664,29,0
6.9667, -0.20791169,30,0
7.0000, -0.00000000,1,0
7.0333,  0.20791169,2,0
7.0667,  0.40673664,3,0
7.1000,  0.58778525,4,0
7.1333,  0.74314483,5,0
7.1667,  0.86602540,6,0
7.2000,  0.95105652,7,0
7.2333,  0.99452190,8,0
7.2667,  0.99452190,9,0
7.3000,  0.95105652,10,0
7.3333,  0.86602540,11,0
7.3667,  0.74314483,12,0
7.4000,  0.58778525,13,0
7.4333,  0.40673664,14,0
7.4667,  0.20791169,15,0
7.5000,  0.00000000,16,0
7.5333, -0.20791169,17,0
7.5667, -0.40673664,18,0
7.6000, -0.58778525,19,0
7.6333, -0.74314483,20,0
7.6667, -0.86602540,21,0
7.7000, -0.95105652,22,0
7.7333, -0.99452190,23,0
7.7667, -0.99452190,24,0
7.8000, -0.95105652,25,0
7.8333, -0.86602540,26,0
7.8667, -0.74314483,27,0
7.9000, -0.58778525,28,0
7.9333, -0.40673664,29,0
7.9667, -0.20791169,30,0
8.0000, -0.00000000,1,0
8.0333,  0.20791169,2,0
8.0667,  0.40673664,3,0
8.1000,  0.58778525,4,0
8.1333,  0.74314483,5,0
8.1667,  0.86602540,6,0
8.2000,  0.95105652,7,0
8.2333,  0.99452190,8,0
8.2667,  0.99452190,9,0
8.3000,  0.95105652,10,0
8.3333,  0.86602540,11,0
8.3667,  0.74314483,12,0
8.4000,  0.58778525,13,0
8.4333,  0.40673664,14,0
8.4667,  0.20791169,15,0
8.5000, -0.00000000,16,0
8.5333, -0.20791169,17,0
8.5667, -0.40673664,18,0
8.6000, -0.58778525,19,0
8.6333, -0.74314483,20,0
8.6667, -0.86602540,21,0
8.7000, -0.95105652,22,0
8.7333, -0.99452190,23,0
8.7667, -0.99452190,24,0
8.8000, -0.95105652,25,0
8.8333, -0.86602540,26,0
8.8667, -0.74314483,27,0
8.9000, -0.58778525,28,0
8.9333, -0.40673664,29,0
8.9667, -0.20791169,30,0
9.0000, -0.00000000,1,0
9.0333,  0.20791169,2,0
9.0667,  0.40673664,3,0
9.1000,  0.58778525,4,0
9.1333,  0.74314483,5,0
9.1667,  0.86602540,6,0
9.2000,  0.95105652,7,0
9.2333,  0.99452190,8,0
9.2667,  0.99452190,9,0
9.3000,  0.95105652,10,0
9.3333,  0.86602540,11,0
9.3667,  0.74314483,12,0
9.4000,  0.58778525,13,0
9.4333,  0.40673664,14,0
9.4667,  0.20791169,15,0
9.5000,  0.00000000,16,0
9.5333, -0.20791169,17,0
9.5667, -0.40673664,18,0
9.6000, -0.58778525,19,0
9.6333, -0.74314483,20,0
9.6667, -0.86602540,21,0
9.7000, -0.95105652,22,0
9.7333, -0.99452190,23,0
9.7667, -0.99452190,24,0
9.8000, -0.95105652,25,0
9.8333, -0.86602540,26,0
9.8667, -0.74314483,27,0
9.9000, -0.58778525,28,0
9.9333, -0.40673664,29,0
9.9667, -0.20791169,30,0
10.0000, -0.00000000,1,0
10.0333,  0.20791169,2,0
10.0667,  0.40673664,3,0
10.1000,  0.58778525,4,0
10.1333,  0.74314483,5,0
10.1667,  0.86602540,6,0
10.2000,  0.95105652,7,0
10.2333,  0.99452190,8,0
