timestamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000,  1.00000000,1,0
0.0333,  1.00000000,1,0
0.0667,  1.00000000,1,0
0.1000,  1.00000000,1,0
0.1333,  1.00000000,1,0
0.1667,  1.00000000,1,0
0.2000,  1.00000000,1,0
0.2333,  1.00000000,1,0
0.2667,  1.00000000,1,0
0.3000,  1.00000000,1,0
0.3333,  1.00000000,1,0
0.3667,  1.00000000,1,0
0.4000,  1.00000000,1,0
0.4333,  1.00000000,1,0
0.4667,  1.00000000,1,0
0.5000,  1.00000000,1,0
0.5333,  1.00000000,1,0
0.5667,  1.00000000,1,0
0.6000,  1.00000000,1,0
0.6333,  1.00000000,1,0
0.6667,  1.00000000,1,0
0.7000,  1.00000000,1,0
0.7333,  1.00000000,1,0
0.7667,  1.20000000,1,1
0.8000,  1.00000000,1,0
0.8333,  1.00000000,1,0
0.8667,  1.00000000,1,0
0.9000,  1.00000000,1,0
0.9333,  1.00000000,1,0
0.9667,  1.00000000,1,0
1.0000,  1.00000000,1,0
1.0333,  1.00000000,1,0
1.0667,  1.00000000,1,0
1.1000,  1.00000000,1,0
1.1333,  1.00000000,1,0
1.1667,  1.00000000,1,0
1.2000,  1.00000000,1,0
1.2333,  1.00000000,1,0
1.2667,  1.00000000,1,0
1.3000,  1.00000000,1,0
1.3333,  1.00000000,1,0
1.3667,  1.00000000,1,0
1.4000,  1.00000000,1,0
1.4333,  1.00000000,1,0
1.4667,  1.00000000,1,0
1.5000,  1.00000000,1,0
1.5333,  1.00000000,1,0
1.5667,  1.00000000,1,0
1.6000,  1.00000000,1,0
1.6333,  1.00000000,1,0
1.6667,  1.00000000,1,0
1.7000,  1.00000000,1,0
1.7333,  1.00000000,1,0
1.7667,  1.00000000,1,0
1.8000,  1.00000000,1,0
1.8333,  1.00000000,1,0
1.8667,  1.00000000,1,0
1.9000,  1.00000000,1,0
1.9333,  1.00000000,1,0
1.9667,  1.00000000,1,0
2.0000,  1.00000000,1,0
2.0333,  1.00000000,1,0
2.0667,  1.00000000,1,0
2.1000,  1.00000000,1,0
2.1333,  1.00000000,1,0
2.1667,  1.00000000,1,0
2.2000,  1.00000000,1,0
2.2333,  1.00000000,1,0
2.2667,  1.00000000,1,0
2.3000,  1.20000000,1,1
2.3333,  1.20000000,1,1
2.3667,  1.00000000,1,0
2.4000,  1.00000000,1,0
2.4333,  1.00000000,1,0
2.4667,  1.00000000,1,0
2.5000,  1.00000000,1,0
2.5333,  1.00000000,1,0
2.5667,  1.00000000,1,0
2.6000,  1.00000000,1,0
2.6333,  1.00000000,1,0
2.6667,  1.00000000,1,0
2.7000,  1.00000000,1,0
2.7333,  1.00000000,1,0
2.7667,  1.00000000,1,0
2.8000,  1.20000000,1,1
2.8333,  1.00000000,1,0
2.8667,  1.00000000,1,0
2.9000,  1.00000000,1,0
2.9333,  1.00000000,1,0
2.9667,  1.00000000,1,0
3.0000,  1.00000000,1,0
3.0333,  1.00000000,1,0
3.0667,  1.00000000,1,0
3.1000,  1.00000000,1,0
3.1333,  1.00000000,1,0
3.1667,  1.00000000,1,0
3.2000,  1.00000000,1,0
3.2333,  1.00000000,1,0
3.2667,  1.00000000,1,0
3.3000,  1.00000000,1,0
3.3333,  1.00000000,1,0
3.3667,  1.00000000,1,0
3.4000,  1.00000000,1,0
3.4333,  1.00000000,1,0
3.4667,  1.00000000,1,0
3.5000,  1.00000000,1,0
3.5333,  1.00000000,1,0
3.5667,  1.20000000,1,1
3.6000,  1.00000000,1,0
3.6333,  1.00000000,1,0
3.6667,  1.00000000,1,0
3.7000,  1.00000000,1,0
3.7333,  1.00000000,1,0
3.7667,  1.00000000,1,0
3.8000,  1.00000000,1,0
3.8333,  1.00000000,1,0
3.8667,  1.00000000,1,0
3.9000,  1.00000000,1,0
3.9333,  1.00000000,1,0
3.9667,  1.00000000,1,0
4.0000,  1.00000000,1,0
4.0333,  1.00000000,1,0
4.0667,  1.00000000,1,0
4.1000,  1.00000000,1,0
4.1333,  1.00000000,1,0
4.1667,  1.00000000,1,0
4.2000,  1.00000000,1,0
4.2333,  1.00000000,1,0
4.2667,  1.00000000,1,0
4.3000,  1.00000000,1,0
4.3333,  1.00000000,1,0
4.3667,  1.00000000,1,0
4.4000,  1.20000000,1,1
4.4333,  1.00000000,1,0
4.4667,  1.00000000,1,0
4.5000,  1.00000000,1,0
4.5333,  1.00000000,1,0
4.5667,  1.00000000,1,0
4.6000,  1.00000000,1,0
4.6333,  1.00000000,1,0
4.6667,  1.00000000,1,0
4.7000,  1.00000000,1,0
4.7333,  1.00000000,1,0
4.7667,  1.00000000,1,0
4.8000,  1.00000000,1,0
4.8333,  1.00000000,1,0
4.8667,  1.00000000,1,0
4.9000,  1.00000000,1,0
4.9333,  1.00000000,1,0
4.9667,  1.00000000,1,0
5.0000,  1.00000000,1,0
5.0333,  1.00000000,1,0
5.0667,  1.00000000,1,0
5.1000,  1.00000000,1,0
5.1333,  1.00000000,1,0
5.1667,  1.00000000,1,0
5.2000,  1.00000000,1,0
5.2333,  1.00000000,1,0
5.2667,  1.20000000,1,1
5.3000,  1.00000000,1,0
5.3333,  1.00000000,1,0
5.3667,  1.00000000,1,0
5.4000,  1.00000000,1,0
5.4333,  1.00000000,1,0
5.4667,  1.00000000,1,0
5.5000,  1.00000000,1,0
5.5333,  1.20000000,1,1
5.5667,  1.00000000,1,0
5.6000,  1.00000000,1,0
5.6333,  1.00000000,1,0
5.6667,  1.00000000,1,0
5.7000,  1.00000000,1,0
5.7333,  1.00000000,1,0
5.7667,  1.00000000,1,0
5.8000,  1.20000000,1,1
5.8333,  1.00000000,1,0
5.8667,  1.00000000,1,0
5.9000,  1.20000000,1,1
5.9333,  1.20000000,1,1
5.9667,  1.00000000,1,0
6.0000,  1.00000000,1,0
6.0333,  1.00000000,1,0
6.0667,  1.00000000,1,0
6.1000,  1.00000000,1,0
6.1333,  1.00000000,1,0
6.1667,  1.00000000,1,0
6.2000,  1.00000000,1,0
6.2333,  1.00000000,1,0
6.2667,  1.00000000,1,0
6.3000,  1.00000000,1,0
6.3333,  1.00000000,1,0
6.3667,  1.00000000,1,0
6.4000,  1.00000000,1,0
6.4333,  1.00000000,1,0
6.4667,  1.00000000,1,0
6.5000,  1.20000000,1,1
6.5333,  1.00000000,1,0
6.5667,  1.00000000,1,0
6.6000,  1.00000000,1,0
6.6333,  1.00000000,1,0
6.6667,  1.00000000,1,0
6.7000,  1.00000000,1,0
6.7333,  1.00000000,1,0
6.7667,  1.00000000,1,0
6.8000,  1.00000000,1,0
6.8333,  1.00000000,1,0
6.8667,  1.00000000,1,0
6.9000,  1.00000000,1,0
6.9333,  1.20000000,1,1
6.9667,  1.00000000,1,0
7.0000,  1.00000000,1,0
7.0333,  1.00000000,1,0
7.0667,  1.00000000,1,0
7.1000,  1.00000000,1,0
7.1333,  1.00000000,1,0
7.1667,  1.00000000,1,0
7.2000,  1.00000000,1,0
7.2333,  1.00000000,1,0
7.2667,  1.00000000,1,0
7.3000,  1.00000000,1,0
7.3333,  1.00000000,1,0
7.3667,  1.00000000,1,0
7.4000,  1.00000000,1,0
7.4333,  1.00000000,1,0
7.4667,  1.00000000,1,0
7.5000,  1.20000000,1,1
7.5333,  1.00000000,1,0
7.5667,  1.00000000,1,0
7.6000,  1.00000000,1,0
7.6333,  1.00000000,1,0
7.6667,  1.00000000,1,0
7.7000,  1.00000000,1,0
7.7333,  1.00000000,1,0
7.7667,  1.20000000,1,1
7.8000,  1.00000000,1,0
7.8333,  1.00000000,1,0
7.8667,  1.00000000,1,0
7.9000,  1.00000000,1,0
7.9333,  1.00000000,1,0
7.9667,  1.00000000,1,0
8.0000,  1.00000000,1,0
8.0333,  1.00000000,1,0
8.0667,  1.00000000,1,0
8.1000,  1.00000000,1,0
8.1333,  1.00000000,1,0
8.1667,  1.00000000,1,0
8.2000,  1.00000000,1,0
8.2333,  1.00000000,1,0
8.2667,  1.00000000,1,0
8.3000,  1.00000000,1,0
8.3333,  1.00000000,1,0
8.3667,  1.00000000,1,0
8.4000,  1.00000000,1,0
8.4333,  1.00000000,1,0
8.4667,  1.00000000,1,0
8.5000,  1.00000000,1,0
8.5333,  1.00000000,1,0
8.5667,  1.00000000,1,0
8.6000,  1.00000000,1,0
8.6333,  1.00000000,1,0
8.6667,  1.00000000,1,0
8.7000,  1.00000000,1,0
8.7333,  1.00000000,1,0
8.7667,  1.00000000,1,0
8.8000,  1.00000000,1,0
8.8333,  1.00000000,1,0
8.8667,  1.00000000,1,0
8.9000,  1.00000000,1,0
8.9333,  1.00000000,1,0
8.9667,  1.00000000,1,0
9.0000,  1.00000000,1,0
9.0333,  1.00000000,1,0
9.0667,  1.00000000,1,0
9.1000,  1.00000000,1,0
9.1333,  1.00000000,1,0
9.1667,  1.00000000,1,0
9.2000,  1.00000000,1,0
9.2333,  1.00000000,1,0
9.2667,  1.00000000,1,0
9.3000,  1.00000000,1,0
9.3333,  1.00000000,1,0
9.3667,  1.00000000,1,0
9.4000,  1.00000000,1,0
9.4333,  1.00000000,1,0
9.4667,  1.20000000,1,1
9.5000,  1.00000000,1,0
9.5333,  1.00000000,1,0
9.5667,  1.00000000,1,0
9.6000,  1.00000000,1,0
9.6333,  1.00000000,1,0
9.6667,  1.00000000,1,0
9.7000,  1.20000000,1,1
9.7333,  1.00000000,1,0
9.7667,  1.00000000,1,0
9.8000,  1.00000000,1,0
9.8333,  1.00000000,1,0
9.8667,  1.00000000,1,0
9.9000,  1.00000000,1,0
9.9333,  1.00000000,1,0
9.9667,  1.00000000,1,0
10.0000,  1.00000000,1,0
10.0333,  1.00000000,1,0
10.0667,  1.00000000,1,0
10.1000,  1.00000000,1,0
10.1333,  1.00000000,1,0
10.1667,  1.00000000,1,0
10.2000,  1.00000000,1,0
