timestamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000,  0.00000000,0,0
0.0333,  0.20835336,2.096489e-01,1
0.0667,  0.40758811,4.192979e-01,1
0.1000,  0.58897908,6.289468e-01,1
0.1333,  0.74458230,8.385958e-01,1
0.1667,  0.86758284,1.048245e+00,1
0.2000,  0.95259334,1.257894e+00,1
0.2333,  0.99588992,1.467543e+00,1
0.2667,  0.99557534,1.677192e+00,1
0.3000,  0.95166208,1.886841e+00,1
0.3333,  0.86607193,2.096489e+00,1
0.3667,  0.74255182,2.306138e+00,1
0.4000,  0.58650981,2.515787e+00,1
0.4333,  0.40477833,2.725436e+00,1
0.4667,  0.20531500,2.935085e+00,1
0.5000, -0.00314581,3.144734e+00,1
0.5333, -0.21147543,3.354383e+00,1
0.5667, -0.41055067,3.564032e+00,1
0.6000, -0.59165329,3.773681e+00,1
0.6333, -0.74685185,3.983330e+00,1
0.6667, -0.86934900,4.192979e+00,1
0.7000, -0.95377927,4.402628e+00,1
0.7333, -0.99644400,4.612277e+00,1
0.7667, -0.99547340,4.821926e+00,1
0.8000, -0.95090848,5.031575e+00,1
0.8333, -0.86469935,5.241224e+00,1
0.8667, -0.74061983,5.450873e+00,1
0.9000, -0.58410232,5.660522e+00,1
0.9333, -0.40199989,5.870171e+00,1
0.9667, -0.20228630,6.079820e+00,1
1.0000,  0.00629320,6.283185e-03,1
1.0333,  0.21460478,2.159321e-01,1
1.0667,  0.41352600,4.255811e-01,1
1.1000,  0.59434534,6.352300e-01,1
1.1333,  0.74914362,8.448790e-01,1
1.1667,  0.87114089,1.054528e+00,1
1.2000,  0.95499337,1.264177e+00,1
1.2333,  0.99702749,1.473826e+00,1
1.2667,  0.99540084,1.683475e+00,1
1.3000,  0.95018293,1.893124e+00,1
1.3333,  0.86335219,2.102773e+00,1
1.3667,  0.73870946,2.312422e+00,1
1.4000,  0.58171159,2.522071e+00,1
1.4333,  0.39923251,2.731720e+00,1
1.4667,  0.19926233,2.941368e+00,1
1.5000, -0.00944253,3.151017e+00,1
1.5333, -0.21774280,3.360666e+00,1
1.5667, -0.41651652,3.570315e+00,1
1.6000, -0.59705853,3.779964e+00,1
1.6333, -0.75146169,3.989613e+00,1
1.6667, -0.87296318,4.199262e+00,1
1.7000, -0.95624071,4.408911e+00,1
1.7333, -0.99764565,4.618560e+00,1
1.7667, -0.99536286,4.828209e+00,1
1.8000, -0.94949032,5.037858e+00,1
1.8333, -0.86203486,5.247507e+00,1
1.8667, -0.73682441,5.457156e+00,1
1.9000, -0.57934044,5.666805e+00,1
1.9333, -0.39647799,5.876454e+00,1
1.9667, -0.19624381,6.086103e+00,1
2.0000,  0.01259424,1.256637e-02,1
2.0333,  0.22089107,2.222153e-01,1
2.0667,  0.41952487,4.318643e-01,1
2.1000,  0.59979650,6.415132e-01,1
2.1333,  0.75381052,8.511622e-01,1
2.1667,  0.87482097,1.060811e+00,1
2.2000,  0.95752681,1.270460e+00,1
2.2333,  0.99830416,1.480109e+00,1
2.2667,  0.99536508,1.689758e+00,1
2.3000,  0.94883597,1.899407e+00,1
2.3333,  0.86075212,2.109056e+00,1
2.3667,  0.73496866,2.318705e+00,1
2.4000,  0.57699192,2.528354e+00,1
2.4333,  0.39373828,2.738003e+00,1
2.4667,  0.19323146,2.947652e+00,1
2.5000, -0.01574884,3.157301e+00,1
2.5333, -0.22405135,3.366950e+00,1
2.5667, -0.42255396,3.576599e+00,1
2.6000, -0.60256320,3.786247e+00,1
2.6333, -0.75619496,3.995896e+00,1
2.6667, -0.87671978,4.205545e+00,1
2.7000, -0.95885763,4.415194e+00,1
2.7333, -0.99900918,4.624843e+00,1
2.7667, -0.99541358,4.834492e+00,1
2.8000, -0.94822560,5.044141e+00,1
2.8333, -0.85950906,5.253790e+00,1
2.8667, -0.73314648,5.463439e+00,1
2.9000, -0.57466923,5.673088e+00,1
2.9333, -0.39101540,5.882737e+00,1
2.9667, -0.19022603,6.092386e+00,1
3.0000,  0.01890692,1.884956e-02,1
3.0333,  0.22722552,2.284985e-01,1
3.0667,  0.42560695,4.381475e-01,1
3.1000,  0.60536292,6.477964e-01,1
3.1333,  0.75862023,8.574454e-01,1
3.1667,  0.87866556,1.067094e+00,1
3.2000,  0.96023958,1.276743e+00,1
3.2333,  0.99976730,1.486392e+00,1
3.2667,  0.99551482,1.696041e+00,1
3.3000,  0.94766529,1.905690e+00,1
3.3333,  0.85831110,2.115339e+00,1
3.3667,  0.73136236,2.324988e+00,1
3.4000,  0.57237577,2.534637e+00,1
3.4333,  0.38831146,2.744286e+00,1
3.4667,  0.18722825,2.953935e+00,1
3.5000, -0.02206916,3.163584e+00,1
3.5333, -0.23041570,3.373233e+00,1
3.5667, -0.42868726,3.582882e+00,1
3.6000, -0.60820025,3.792531e+00,1
3.6333, -0.76109190,4.002180e+00,1
3.6667, -0.88066463,4.211829e+00,1
3.7000, -0.96167946,4.421478e+00,1
3.7333, -1.00058551,4.631126e+00,1
3.7667, -0.99567567,4.840775e+00,1
3.8000, -0.94716147,5.050424e+00,1
3.8333, -0.85716397,5.260073e+00,1
3.8667, -0.72962105,5.469722e+00,1
3.9000, -0.57011510,5.679371e+00,1
3.9333, -0.38562867,5.889020e+00,1
3.9667, -0.18423886,6.098669e+00,1
4.0000,  0.02523634,2.513274e-02,1
4.0333,  0.23362412,2.347817e-01,1
4.0667,  0.43179853,4.444306e-01,1
4.1000,  0.61108008,6.540796e-01,1
4.1333,  0.76361590,8.637285e-01,1
4.1667,  0.88272370,1.073377e+00,1
4.2000,  0.96318446,1.283026e+00,1
4.2333,  1.00147116,1.492675e+00,1
4.2667,  0.99590334,1.702324e+00,1
4.3000,  0.94672087,1.911973e+00,1
4.3333,  0.85607362,2.121622e+00,1
4.3667,  0.72792748,2.331271e+00,1
4.4000,  0.56789087,2.540920e+00,1
4.4333,  0.38296926,2.750569e+00,1
4.4667,  0.18125856,2.960218e+00,1
4.5000, -0.02840934,3.169867e+00,1
4.5333, -0.23685323,3.379516e+00,1
4.5667, -0.43494463,3.589165e+00,1
4.6000, -0.61400756,3.798814e+00,1
4.6333, -0.76619845,4.008463e+00,1
4.6667, -0.88484977,4.218112e+00,1
4.7000, -0.96476209,4.427761e+00,1
4.7333, -1.00243192,4.637410e+00,1
4.7667, -0.99620532,4.847059e+00,1
4.8000, -0.94635049,5.056708e+00,1
4.8333, -0.85504623,5.266356e+00,1
4.8667, -0.72628673,5.476005e+00,1
4.9000, -0.56570684,5.685654e+00,1
4.9333, -0.38033548,5.895303e+00,1
4.9667, -0.17828800,6.104952e+00,1
5.0000,  0.03158913,3.141593e-02,1
5.0333,  0.24010558,2.410649e-01,1
5.0667,  0.43812964,4.507138e-01,1
5.1000,  0.61698808,6.603628e-01,1
5.1333,  0.76884603,8.700117e-01,1
5.1667,  0.88705014,1.079661e+00,1
5.2000,  0.96642011,1.289310e+00,1
5.2333,  1.00347571,1.498959e+00,1
5.2667,  0.99658933,1.708608e+00,1
5.3000,  0.94605749,1.918256e+00,1
5.3333,  0.85408810,2.127905e+00,1
5.3667,  0.72470395,2.337554e+00,1
5.4000,  0.56356680,2.547203e+00,1
5.4333,  0.37772959,2.756852e+00,1
5.4667,  0.17532778,2.966501e+00,1
5.5000, -0.03477680,3.176150e+00,1
5.5333, -0.24338391,3.385799e+00,1
5.5667, -0.44135780,3.595448e+00,1
5.6000, -0.62002723,3.805097e+00,1
5.6333, -0.77156530,4.014746e+00,1
5.6667, -0.88933227,4.224395e+00,1
5.7000, -0.96816649,4.434044e+00,1
5.7333, -1.00461060,4.643693e+00,1
5.7667, -0.99706320,4.853342e+00,1
5.8000, -0.94584914,5.062991e+00,1
5.8333, -0.85320560,5.272640e+00,1
5.8667, -0.72318434,5.482289e+00,1
5.9000, -0.56147453,5.691938e+00,1
5.9333, -0.37515377,5.901587e+00,1
5.9667, -0.17237841,6.111235e+00,1
6.0000,  0.03797353,3.769911e-02,1
6.0333,  0.24669106,2.473481e-01,1
6.0667,  0.44463347,4.569970e-01,1
6.1000,  0.62313072,6.666460e-01,1
6.1333,  0.77436308,8.762949e-01,1
6.1667,  0.89170376,1.085944e+00,1
6.2000,  0.97000925,1.295593e+00,1
6.2333,  1.00584474,1.505242e+00,1
6.2667,  0.99763481,1.714891e+00,1
6.3000,  0.94573270,1.924540e+00,1
6.3333,  0.85240507,2.134189e+00,1
6.3667,  0.72173303,2.343838e+00,1
6.4000,  0.55943372,2.553487e+00,1
6.4333,  0.37261013,2.763135e+00,1
6.4667,  0.16944032,2.972784e+00,1
6.5000, -0.04118062,3.182433e+00,1
6.5333, -0.25002995,3.392082e+00,1
6.5667, -0.44796111,3.601731e+00,1
6.6000, -0.62630430,3.811380e+00,1
6.6333, -0.77724618,4.021029e+00,1
6.6667, -0.89417219,4.230678e+00,1
6.7000, -0.97195640,4.440327e+00,1
6.7333, -1.00718618,4.649976e+00,1
6.7667, -0.99831196,4.859625e+00,1
6.8000, -0.94571535,5.069274e+00,1
6.8333, -0.85169272,5.278923e+00,1
6.8667, -0.72035501,5.488572e+00,1
6.9000, -0.55744793,5.698221e+00,1
6.9333, -0.37010064,5.907870e+00,1
6.9667, -0.16651379,6.117519e+00,1
7.0000,  0.04439946,4.398230e-02,1
7.0333,  0.25340360,2.536312e-01,1
7.0667,  0.45134520,4.632802e-01,1
7.1000,  0.62955373,6.729291e-01,1
7.1333,  0.78022137,8.825781e-01,1
7.1667,  0.89674504,1.092227e+00,1
7.2000,  0.97401580,1.301876e+00,1
7.2333,  1.00864284,1.511525e+00,1
7.2667,  0.99910222,1.721174e+00,1
7.3000,  0.94580398,1.930823e+00,1
7.3333,  0.85107452,2.140472e+00,1
7.3667,  0.71905503,2.350121e+00,1
7.4000,  0.55552050,2.559770e+00,1
7.4333,  0.36762708,2.769419e+00,1
