timestamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000,  0.96129162,1,1
0.0333,  0.96692477,1,1
0.0667,  1.03996195,1,1
0.1000,  0.96618437,1,1
0.1333,  0.97847587,1,1
0.1667,  0.97377691,1,1
0.2000,  1.07447118,1,1
0.2333,  1.03631602,1,1
0.2667,  1.05859470,1,1
0.3000,  1.04110535,1,1
0.3333,  1.02102073,1,1
0.3667,  1.07083509,1,1
0.4000,  1.05779488,1,1
0.4333,  1.03256169,1,1
0.4667,  1.10320235,1,1
0.5000,  0.98317704,1,1
0.5333,  0.98538443,1,1
0.5667,  1.07249922,1,1
0.6000,  0.90552577,1,1
0.6333,  0.88373944,1,1
0.6667,  1.00000000,1,0
0.7000,  1.08288953,1,1
0.7333,  1.06287577,1,1
0.7667,  1.06304316,1,1
0.8000,  1.04879850,1,1
0.8333,  0.97721904,1,1
0.8667,  0.98713891,1,1
0.9000,  1.02160979,1,1
0.9333,  0.96835082,1,1
0.9667,  1.12027514,1,1
1.0000,  1.02700872,1,1
1.0333,  1.00000000,1,0
1.0667,  0.97177258,1,1
1.1000,  0.98656803,1,1
1.1333,  0.97655534,1,1
1.1667,  1.01021089,1,1
1.2000,  1.00000000,1,0
1.2333,  0.96364826,1,1
1.2667,  1.13439117,1,1
1.3000,  0.95569367,1,1
1.3333,  1.00000000,1,0
1.3667,  0.97336111,1,1
1.4000,  1.04813595,1,1
1.4333,  0.97889318,1,1
1.4667,  0.95621428,1,1
1.5000,  0.94199911,1,1
1.5333,  1.00000000,1,0
1.5667,  1.01838965,1,1
1.6000,  0.93511445,1,1
1.6333,  1.05586702,1,1
1.6667,  1.03321848,1,1
1.7000,  0.96291943,1,1
1.7333,  1.03094396,1,1
1.7667,  1.00000000,1,0
1.8000,  1.07668129,1,1
1.8333,  1.04962520,1,1
1.8667,  0.97895289,1,1
1.9000,  1.00000000,1,0
1.9333,  0.84323476,1,1
1.9667,  0.96730352,1,1
2.0000,  1.01975763,1,1
2.0333,  1.05159594,1,1
2.0667,  0.98884382,1,1
2.1000,  0.94665278,1,1
2.1333,  1.06434055,1,1
2.1667,  0.97238471,1,1
2.2000,  1.05862557,1,1
2.2333,  1.07284308,1,1
2.2667,  1.00000000,1,0
2.3000,  0.96572079,1,1
2.3333,  1.02185338,1,1
2.3667,  1.01662291,1,1
2.4000,  1.02128162,1,1
2.4333,  0.85784713,1,1
2.4667,  0.88399474,1,1
2.5000,  1.00000000,1,0
2.5333,  0.95693011,1,1
2.5667,  0.94961035,1,1
2.6000,  1.08262314,1,1
2.6333,  1.01999526,1,1
2.6667,  0.90880595,1,1
2.7000,  1.05721457,1,1
2.7333,  1.03051077,1,1
2.7667,  1.05522318,1,1
2.8000,  1.00000000,1,0
2.8333,  1.01879880,1,1
2.8667,  1.07365128,1,1
2.9000,  1.01986868,1,1
2.9333,  0.89723677,1,1
2.9667,  0.97583585,1,1
3.0000,  1.04660710,1,1
3.0333,  0.94267312,1,1
3.0667,  0.93352748,1,1
3.1000,  1.04536296,1,1
3.1333,  0.91567219,1,1
3.1667,  0.98023900,1,1
3.2000,  1.03947916,1,1
3.2333,  0.91860530,1,1
3.2667,  0.92795203,1,1
3.3000,  0.95558343,1,1
3.3333,  0.94226055,1,1
3.3667,  1.02554860,1,1
3.4000,  0.98294782,1,1
3.4333,  1.05610432,1,1
3.4667,  1.00000000,1,0
3.5000,  1.04690844,1,1
3.5333,  1.08703299,1,1
3.5667,  1.03896602,1,1
3.6000,  1.08189748,1,1
3.6333,  0.95941251,1,1
3.6667,  1.00000000,1,0
3.7000,  0.93716732,1,1
3.7333,  0.96424821,1,1
3.7667,  1.01318762,1,1
3.8000,  0.91176554,1,1
3.8333,  0.97295800,1,1
3.8667,  0.98101838,1,1
3.9000,  1.01477362,1,1
3.9333,  0.98100596,1,1
3.9667,  1.03954041,1,1
4.0000,  1.00000000,1,0
4.0333,  0.94191693,1,1
4.0667,  1.06623352,1,1
4.1000,  1.14542589,1,1
4.1333,  0.91658993,1,1
4.1667,  0.98750006,1,1
4.2000,  1.06104893,1,1
4.2333,  1.01973357,1,1
4.2667,  0.97193952,1,1
4.3000,  1.04513066,1,1
4.3333,  1.03748670,1,1
4.3667,  0.98849991,1,1
4.4000,  0.91733064,1,1
4.4333,  1.01464485,1,1
4.4667,  0.98728705,1,1
4.5000,  1.07055307,1,1
4.5333,  1.00000000,1,0
4.5667,  1.00000000,1,0
4.6000,  1.06620220,1,1
4.6333,  1.02122876,1,1
4.6667,  0.96651903,1,1
4.7000,  1.10737858,1,1
4.7333,  1.00000000,1,0
4.7667,  1.10661557,1,1
4.8000,  0.95886128,1,1
4.8333,  1.02641544,1,1
4.8667,  0.87940120,1,1
4.9000,  1.00000000,1,0
4.9333,  1.08190691,1,1
4.9667,  0.92855146,1,1
5.0000,  0.98461273,1,1
5.0333,  1.06927314,1,1
5.0667,  0.89456093,1,1
5.1000,  0.93025556,1,1
5.1333,  0.98705618,1,1
5.1667,  0.90610789,1,1
5.2000,  0.91611407,1,1
5.2333,  1.08594655,1,1
5.2667,  0.98338299,1,1
5.3000,  0.95389732,1,1
5.3333,  0.94844093,1,1
5.3667,  0.96586811,1,1
5.4000,  1.07889751,1,1
5.4333,  1.01318208,1,1
5.4667,  0.97602658,1,1
5.5000,  1.11872057,1,1
5.5333,  0.97399312,1,1
5.5667,  1.01520265,1,1
5.6000,  1.03511770,1,1
5.6333,  1.08685505,1,1
5.6667,  1.03267774,1,1
5.7000,  1.01011261,1,1
5.7333,  0.92112180,1,1
5.7667,  0.91375884,1,1
5.8000,  0.89796249,1,1
5.8333,  1.01082283,1,1
5.8667,  1.14607802,1,1
5.9000,  0.98920105,1,1
5.9333,  0.96400848,1,1
5.9667,  1.06330212,1,1
6.0000,  1.00000000,1,0
6.0333,  0.86695012,1,1
6.0667,  0.97981397,1,1
6.1000,  1.05453550,1,1
6.1333,  1.02683113,1,1
6.1667,  1.01732004,1,1
6.2000,  1.05080110,1,1
6.2333,  1.00000000,1,0
6.2667,  1.04953062,1,1
6.3000,  1.05116044,1,1
6.3333,  1.02494765,1,1
6.3667,  0.98826404,1,1
6.4000,  0.85176331,1,1
6.4333,  1.04697782,1,1
6.4667,  1.00000000,1,0
6.5000,  1.06265011,1,1
6.5333,  0.98925600,1,1
6.5667,  0.92253338,1,1
6.6000,  0.93056009,1,1
6.6333,  0.96704455,1,1
6.6667,  0.94982526,1,1
6.7000,  0.98038662,1,1
6.7333,  1.00000000,1,0
6.7667,  0.94899704,1,1
6.8000,  0.97656700,1,1
6.8333,  1.01208229,1,1
6.8667,  1.00000000,1,0
6.9000,  0.95054145,1,1
6.9333,  1.04419036,1,1
6.9667,  1.14999308,1,1
7.0000,  1.00000000,1,0
7.0333,  0.96225214,1,1
7.0667,  0.93422119,1,1
7.1000,  0.95381492,1,1
7.1333,  1.02327729,1,1
7.1667,  0.91893675,1,1
7.2000,  1.02023992,1,1
7.2333,  1.01846404,1,1
7.2667,  0.98648160,1,1
7.3000,  1.00000000,1,0
7.3333,  0.98355869,1,1
7.3667,  1.00000000,1,0
7.4000,  0.92872683,1,1
7.4333,  0.95164983,1,1
7.4667,  1.00000000,1,0
7.5000,  0.97291739,1,1
7.5333,  0.89086183,1,1
7.5667,  0.92867090,1,1
7.6000,  1.03183973,1,1
7.6333,  0.91298267,1,1
7.6667,  0.89296665,1,1
7.7000,  0.91215996,1,1
7.7333,  0.96040259,1,1
7.7667,  0.95509300,1,1
7.8000,  1.00000000,1,0
7.8333,  0.90958628,1,1
7.8667,  1.02722686,1,1
7.9000,  1.09492425,1,1
7.9333,  1.02881985,1,1
7.9667,  1.13773878,1,1
8.0000,  1.03076030,1,1
8.0333,  1.02142109,1,1
8.0667,  1.00000000,1,0
8.1000,  1.00000000,1,0
8.1333,  1.02776301,1,1
8.1667,  1.01212337,1,1
8.2000,  0.97711373,1,1
8.2333,  1.03482115,1,1
8.2667,  1.00000000,1,0
8.3000,  0.90343681,1,1
8.3333,  1.00000000,1,0
8.3667,  1.00000000,1,0
8.4000,  1.04970404,1,1
8.4333,  1.01009678,1,1
8.4667,  0.92856476,1,1
8.5000,  1.05206681,1,1
8.5333,  1.04065231,1,1
8.5667,  1.00000000,1,0
8.6000,  1.04287169,1,1
8.6333,  0.94729482,1,1
8.6667,  0.91261660,1,1
8.7000,  1.04878731,1,1
8.7333,  0.98349769,1,1
8.7667,  0.88749433,1,1
8.8000,  0.98595016,1,1
8.8333,  1.00000000,1,0
8.8667,  1.07502708,1,1
8.9000,  1.03946404,1,1
8.9333,  1.06960238,1,1
8.9667,  1.11420081,1,1
9.0000,  0.96690365,1,1
9.0333,  0.98135071,1,1
9.0667,  0.97045156,1,1
9.1000,  1.04194222,1,1
9.1333,  1.06632420,1,1
9.1667,  1.01438611,1,1
9.2000,  1.06952342,1,1
9.2333,  0.95942230,1,1
9.2667,  0.95728679,1,1
9.3000,  1.01581360,1,1
9.3333,  1.02629681,1,1
9.3667,  1.00000000,1,0
9.4000,  1.02808296,1,1
9.4333,  1.00000000,1,0
9.4667,  0.97668476,1,1
9.5000,  0.95680274,1,1
9.5333,  0.92610526,1,1
9.5667,  1.05031494,1,1
9.6000,  1.02681147,1,1
9.6333,  1.02837198,1,1
9.6667,  1.05265952,1,1
9.7000,  0.97574413,1,1
9.7333,  0.95761463,1,1
9.7667,  1.01860580,1,1
9.8000,  0.97946585,1,1
9.8333,  1.04333974,1,1
9.8667,  0.96362396,1,1
9.9000,  1.03828667,1,1
9.9333,  1.07686619,1,1
9.9667,  0.97987396,1,1
10.0000,  1.05839734,1,1
10.0333,  1.08184870,1,1
10.0667,  1.00000000,1,0
10.1000,  1.06039215,1,1
10.1333,  0.93801229,1,1
10.1667,  1.00000000,1,0
10.2000,  0.97822554,1,1
