timestamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000,  1.04829546,1,1
0.0333,  1.09386421,1,1
0.0667,  1.04734952,1,1
0.1000,  1.02755147,1,1
0.1333,  0.94723996,1,1
0.1667,  0.97144805,1,1
0.2000,  0.92043660,1,1
0.2333,  1.05109414,1,1
0.2667,  1.00000000,1,0
0.3000,  1.09278715,1,1
0.3333,  1.08751949,1,1
0.3667,  1.07685848,1,1
0.4000,  1.00000000,1,0
0.4333,  1.00000000,1,0
0.4667,  1.02710007,1,1
0.5000,  0.96401878,1,1
0.5333,  1.00000000,1,0
0.5667,  0.97140940,1,1
0.6000,  1.08534229,1,1
0.6333,  1.01163192,1,1
0.6667,  0.95037236,1,1
0.7000,  1.00000000,1,0
0.7333,  1.09750078,1,1
0.7667,  0.90470695,1,1
0.8000,  1.07823180,1,1
0.8333,  0.93547364,1,1
0.8667,  1.00000000,1,0
0.9000,  1.02595876,1,1
0.9333,  1.11655511,1,1
0.9667,  1.02707839,1,1
1.0000,  1.00000000,1,0
1.0333,  1.03303143,1,1
1.0667,  0.89250815,1,1
1.1000,  0.98795762,1,1
1.1333,  1.00000000,1,0
1.1667,  0.88159788,1,1
1.2000,  1.06448926,1,1
1.2333,  1.00000000,1,0
1.2667,  0.98397425,1,1
1.3000,  0.97880496,1,1
1.3333,  1.01221463,1,1
1.3667,  1.02254533,1,1
1.4000,  1.08284487,1,1
1.4333,  1.00000000,1,0
1.4667,  0.92351180,1,1
1.5000,  1.05724691,1,1
1.5333,  0.98104665,1,1
1.5667,  1.01836798,1,1
1.6000,  0.95783464,1,1
1.6333,  0.96255327,1,1
1.6667,  0.98993699,1,1
1.7000,  1.02608745,1,1
1.7333,  1.06488750,1,1
1.7667,  0.88277994,1,1
1.8000,  0.97591865,1,1
1.8333,  0.92694492,1,1
1.8667,  0.96503678,1,1
1.9000,  1.00000000,1,0
1.9333,  0.93306554,1,1
1.9667,  0.98134256,1,1
2.0000,  1.04229748,1,1
2.0333,  0.94391574,1,1
2.0667,  1.04404862,1,1
2.1000,  0.95080072,1,1
2.1333,  0.93989071,1,1
2.1667,  0.98492823,1,1
2.2000,  1.03844775,1,1
2.2333,  1.03762785,1,1
2.2667,  1.00000000,1,0
2.3000,  1.00000000,1,0
2.3333,  1.05646757,1,1
2.3667,  1.02380757,1,1
2.4000,  0.98089628,1,1
2.4333,  0.98777760,1,1
2.4667,  0.89900357,1,1
2.5000,  1.06489890,1,1
2.5333,  1.03676143,1,1
2.5667,  1.02925751,1,1
2.6000,  1.07033122,1,1
2.6333,  0.94372167,1,1
2.6667,  1.00000000,1,0
2.7000,  0.90692379,1,1
2.7333,  0.95000736,1,1
2.7667,  0.97219840,1,1
2.8000,  1.00000000,1,0
2.8333,  1.01803139,1,1
2.8667,  0.97972154,1,1
2.9000,  0.88387922,1,1
2.9333,  0.98337645,1,1
2.9667,  1.01087380,1,1
3.0000,  0.98987374,1,1
3.0333,  1.07308645,1,1
3.0667,  1.03589307,1,1
3.1000,  0.98456842,1,1
3.1333,  1.05196903,1,1
3.1667,  0.97318207,1,1
3.2000,  0.95589227,1,1
3.2333,  0.97345385,1,1
3.2667,  1.05075060,1,1
3.3000,  0.91989289,1,1
3.3333,  0.87651185,1,1
3.3667,  1.01236954,1,1
3.4000,  0.95637096,1,1
3.4333,  0.93850626,1,1
3.4667,  0.98391465,1,1
3.5000,  1.00000000,1,0
3.5333,  1.03770138,1,1
3.5667,  1.04489401,1,1
3.6000,  0.90587646,1,1
3.6333,  1.08306035,1,1
3.6667,  1.03167252,1,1
3.7000,  1.04399208,1,1
3.7333,  0.94223253,1,1
3.7667,  1.06729271,1,1
3.8000,  0.89932510,1,1
3.8333,  1.01964840,1,1
3.8667,  1.04529981,1,1
3.9000,  0.96555961,1,1
3.9333,  0.95046638,1,1
3.9667,  0.93704689,1,1
4.0000,  0.86295248,1,1
4.0333,  1.07131356,1,1
4.0667,  1.05903770,1,1
4.1000,  1.04179887,1,1
4.1333,  1.00000000,1,0
4.1667,  0.94099166,1,1
4.2000,  0.96881155,1,1
4.2333,  0.98752100,1,1
4.2667,  1.00000000,1,0
4.3000,  1.07057668,1,1
4.3333,  1.00000000,1,0
4.3667,  0.94328095,1,1
4.4000,  0.93852649,1,1
4.4333,  0.92944439,1,1
4.4667,  1.01776150,1,1
4.5000,  1.08325774,1,1
4.5333,  1.05640946,1,1
4.5667,  0.89288222,1,1
4.6000,  0.91696044,1,1
4.6333,  0.90498479,1,1
4.6667,  1.02099997,1,1
4.7000,  1.00000000,1,0
4.7333,  0.89953894,1,1
4.7667,  1.00000000,1,0
4.8000,  1.00000000,1,0
4.8333,  1.02337841,1,1
4.8667,  0.93082603,1,1
4.9000,  1.09961666,1,1
4.9333,  1.05628690,1,1
4.9667,  1.01620836,1,1
5.0000,  1.03968233,1,1
5.0333,  1.02848247,1,1
5.0667,  1.08846044,1,1
5.1000,  0.92742172,1,1
5.1333,  1.02377394,1,1
5.1667,  0.98902160,1,1
5.2000,  1.02491180,1,1
5.2333,  1.01967484,1,1
5.2667,  1.03005400,1,1
5.3000,  1.03108217,1,1
5.3333,  0.96149392,1,1
5.3667,  1.02521213,1,1
5.4000,  0.93888736,1,1
5.4333,  0.98296184,1,1
5.4667,  0.96278158,1,1
5.5000,  1.00000000,1,0
5.5333,  1.00000000,1,0
5.5667,  0.97223885,1,1
5.6000,  1.07890893,1,1
5.6333,  0.87667496,1,1
5.6667,  0.95029189,1,1
5.7000,  1.00000000,1,0
5.7333,  0.98136963,1,1
5.7667,  1.06005123,1,1
5.8000,  1.02602118,1,1
5.8333,  1.05563136,1,1
5.8667,  0.92659203,1,1
5.9000,  1.13042314,1,1
5.9333,  1.01267892,1,1
5.9667,  0.91102955,1,1
6.0000,  1.08128149,1,1
6.0333,  1.02702130,1,1
6.0667,  1.04447981,1,1
6.1000,  1.00000000,1,0
6.1333,  0.97299567,1,1
6.1667,  1.07355597,1,1
6.2000,  0.95849979,1,1
6.2333,  1.03676860,1,1
6.2667,  0.96885446,1,1
6.3000,  1.00000000,1,0
6.3333,  1.04094594,1,1
6.3667,  0.98523280,1,1
6.4000,  0.98850173,1,1
6.4333,  1.07721245,1,1
6.4667,  1.00000000,1,0
6.5000,  0.84643594,1,1
6.5333,  1.00000000,1,0
6.5667,  1.02869676,1,1
6.6000,  1.01788548,1,1
6.6333,  0.98118981,1,1
6.6667,  1.01380133,1,1
6.7000,  1.00000000,1,0
6.7333,  1.03940049,1,1
6.7667,  0.89154628,1,1
6.8000,  0.98480788,1,1
6.8333,  0.93223174,1,1
6.8667,  1.03742677,1,1
6.9000,  0.96501163,1,1
6.9333,  1.01058288,1,1
6.9667,  1.02115250,1,1
7.0000,  0.98308209,1,1
7.0333,  1.03118150,1,1
7.0667,  0.94557321,1,1
7.1000,  0.97717011,1,1
7.1333,  0.94963432,1,1
7.1667,  0.98674020,1,1
7.2000,  1.02955211,1,1
7.2333,  0.89772541,1,1
7.2667,  1.09099658,1,1
7.3000,  0.93195691,1,1
7.3333,  1.00000000,1,0
7.3667,  0.96474786,1,1
7.4000,  1.05465796,1,1
7.4333,  1.00000000,1,0
7.4667,  0.98338006,1,1
7.5000,  0.98756419,1,1
7.5333,  1.09063215,1,1
7.5667,  1.02449177,1,1
7.6000,  0.97954832,1,1
7.6333,  0.95892195,1,1
7.6667,  0.92650419,1,1
7.7000,  1.01186966,1,1
7.7333,  1.04531248,1,1
7.7667,  1.03325371,1,1
7.8000,  0.97795213,1,1
7.8333,  1.08276935,1,1
7.8667,  1.00000000,1,0
7.9000,  1.07023965,1,1
7.9333,  1.02693657,1,1
7.9667,  0.88018855,1,1
8.0000,  0.94294390,1,1
8.0333,  0.94902565,1,1
8.0667,  0.96379808,1,1
8.1000,  0.96754703,1,1
8.1333,  0.96111649,1,1
8.1667,  0.98920622,1,1
8.2000,  0.97118440,1,1
8.2333,  0.96381919,1,1
8.2667,  1.07510212,1,1
8.3000,  1.05148072,1,1
8.3333,  1.06493091,1,1
8.3667,  1.00000000,1,0
8.4000,  0.98478797,1,1
8.4333,  0.95764975,1,1
8.4667,  0.95138512,1,1
8.5000,  1.01114419,1,1
8.5333,  1.09007695,1,1
8.5667,  0.94321125,1,1
8.6000,  1.03029807,1,1
8.6333,  0.93310151,1,1
8.6667,  1.02108748,1,1
8.7000,  0.98186275,1,1
8.7333,  1.03878544,1,1
8.7667,  0.94878848,1,1
8.8000,  1.08228503,1,1
8.8333,  0.87259080,1,1
8.8667,  1.03172503,1,1
8.9000,  1.00000000,1,0
8.9333,  0.96348565,1,1
8.9667,  0.97963016,1,1
9.0000,  1.02822585,1,1
9.0333,  1.01042050,1,1
9.0667,  0.96037433,1,1
9.1000,  1.07668700,1,1
9.1333,  0.97913065,1,1
9.1667,  0.97966176,1,1
9.2000,  1.00000000,1,0
9.2333,  1.07344730,1,1
9.2667,  0.94373357,1,1
9.3000,  1.00000000,1,0
9.3333,  1.00000000,1,0
9.3667,  0.94249447,1,1
9.4000,  0.98906958,1,1
9.4333,  1.00000000,1,0
9.4667,  1.09529033,1,1
9.5000,  0.90649107,1,1
9.5333,  1.02615116,1,1
9.5667,  1.02071120,1,1
9.6000,  0.95863575,1,1
9.6333,  1.03869317,1,1
9.6667,  1.00000000,1,0
9.7000,  0.96090451,1,1
9.7333,  0.95573061,1,1
9.7667,  1.04872157,1,1
9.8000,  1.00000000,1,0
9.8333,  1.00000000,1,0
9.8667,  1.00000000,1,0
9.9000,  1.07742437,1,1
9.9333,  1.02034882,1,1
9.9667,  0.86542909,1,1
10.0000,  0.95065018,1,1
10.0333,  1.10769346,1,1
10.0667,  1.00000000,1,0
10.1000,  1.02507910,1,1
10.1333,  1.07564889,1,1
10.1667,  1.00000000,1,0
10.2000,  0.97890016,1,1
