timestamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000,  0.94090309,1,1
0.0333,  0.96344663,1,1
0.0667,  0.92618126,1,1
0.1000,  0.91178595,1,1
0.1333,  1.01703722,1,1
0.1667,  0.98001164,1,1
0.2000,  1.15525658,1,1
0.2333,  1.08604986,1,1
0.2667,  0.98941106,1,1
0.3000,  1.01249757,1,1
0.3333,  1.00000000,1,0
0.3667,  1.07591738,1,1
0.4000,  1.05702571,1,1
0.4333,  0.94684037,1,1
0.4667,  0.97990452,1,1
0.5000,  1.01276677,1,1
0.5333,  1.02665307,1,1
0.5667,  0.92048126,1,1
0.6000,  1.00000000,1,0
0.6333,  1.10122285,1,1
0.6667,  1.02451885,1,1
0.7000,  0.92182084,1,1
0.7333,  1.08178453,1,1
0.7667,  0.91245523,1,1
0.8000,  1.09601241,1,1
0.8333,  1.13965816,1,1
0.8667,  0.87471760,1,1
0.9000,  1.03277578,1,1
0.9333,  0.98014808,1,1
0.9667,  0.92456365,1,1
1.0000,  1.01847175,1,1
1.0333,  1.01395061,1,1
1.0667,  1.03677524,1,1
1.1000,  0.96374580,1,1
1.1333,  1.09522585,1,1
1.1667,  0.92680750,1,1
1.2000,  0.95383614,1,1
1.2333,  1.02051697,1,1
1.2667,  1.07841596,1,1
1.3000,  0.97376115,1,1
1.3333,  1.01074851,1,1
1.3667,  0.93455916,1,1
1.4000,  1.07990772,1,1
1.4333,  1.04933724,1,1
1.4667,  1.01074855,1,1
1.5000,  1.00000000,1,0
1.5333,  0.92351572,1,1
1.5667,  0.90131221,1,1
1.6000,  1.06350386,1,1
1.6333,  0.94486874,1,1
1.6667,  0.97193348,1,1
1.7000,  1.03496821,1,1
1.7333,  0.95713035,1,1
1.7667,  0.93903836,1,1
1.8000,  1.00000000,1,0
1.8333,  1.05207563,1,1
1.8667,  0.95465809,1,1
1.9000,  0.98975439,1,1
1.9333,  0.97489131,1,1
1.9667,  1.01658123,1,1
2.0000,  1.00000000,1,0
2.0333,  1.00000000,1,0
2.0667,  0.87121353,1,1
2.1000,  0.97571697,1,1
2.1333,  1.09605087,1,1
2.1667,  0.98911376,1,1
2.2000,  0.91474448,1,1
2.2333,  0.94156761,1,1
2.2667,  1.03260730,1,1
2.3000,  0.86826711,1,1
2.3333,  0.98349897,1,1
2.3667,  0.98752644,1,1
2.4000,  0.98493526,1,1
2.4333,  1.08205688,1,1
2.4667,  1.02285773,1,1
2.5000,  0.97237290,1,1
2.5333,  1.00000000,1,0
2.5667,  0.95846034,1,1
2.6000,  1.04777502,1,1
2.6333,  1.01035683,1,1
2.6667,  1.08874250,1,1
2.7000,  1.04080635,1,1
2.7333,  0.95810286,1,1
2.7667,  1.00000000,1,0
2.8000,  0.93063607,1,1
2.8333,  0.97164135,1,1
2.8667,  1.01747907,1,1
2.9000,  1.05266041,1,1
2.9333,  1.01396288,1,1
2.9667,  1.04677084,1,1
3.0000,  1.04950699,1,1
3.0333,  1.13317041,1,1
3.0667,  0.96168687,1,1
3.1000,  1.02629748,1,1
3.1333,  1.04088351,1,1
3.1667,  0.96469879,1,1
3.2000,  1.06707931,1,1
3.2333,  1.00000000,1,0
3.2667,  1.00000000,1,0
3.3000,  1.04704219,1,1
3.3333,  0.97987792,1,1
3.3667,  0.96985050,1,1
3.4000,  1.12403054,1,1
3.4333,  1.00000000,1,0
3.4667,  1.04722923,1,1
3.5000,  1.03448383,1,1
3.5333,  0.93759969,1,1
3.5667,  1.01888313,1,1
3.6000,  1.05529679,1,1
3.6333,  1.10345741,1,1
3.6667,  1.00000000,1,0
3.7000,  1.00000000,1,0
3.7333,  1.05807910,1,1
3.7667,  1.00000000,1,0
3.8000,  1.05258778,1,1
3.8333,  0.96319222,1,1
3.8667,  1.03739093,1,1
3.9000,  1.02646565,1,1
3.9333,  1.00000000,1,0
3.9667,  1.06475235,1,1
4.0000,  1.00000000,1,0
4.0333,  1.00000000,1,0
4.0667,  0.94241638,1,1
4.1000,  0.95034788,1,1
4.1333,  1.07993246,1,1
4.1667,  0.96877264,1,1
4.2000,  1.02625061,1,1
4.2333,  1.01200279,1,1
4.2667,  0.98359772,1,1
4.3000,  0.97399195,1,1
4.3333,  1.00000000,1,0
4.3667,  1.01007314,1,1
4.4000,  1.03834873,1,1
4.4333,  0.96969623,1,1
4.4667,  1.00000000,1,0
4.5000,  1.01755550,1,1
4.5333,  1.02458543,1,1
4.5667,  1.02763285,1,1
4.6000,  0.92553962,1,1
4.6333,  0.97597136,1,1
4.6667,  1.00000000,1,0
4.7000,  1.03497388,1,1
4.7333,  1.02014717,1,1
4.7667,  1.02215036,1,1
4.8000,  0.94879714,1,1
4.8333,  0.98737434,1,1
4.8667,  1.05577626,1,1
4.9000,  1.00000000,1,0
4.9333,  0.97346800,1,1
4.9667,  1.03518996,1,1
5.0000,  1.06360164,1,1
5.0333,  1.07867382,1,1
5.0667,  0.96847677,1,1
5.1000,  0.92994473,1,1
5.1333,  0.96526505,1,1
5.1667,  0.97939410,1,1
5.2000,  0.97608046,1,1
5.2333,  1.07899808,1,1
5.2667,  1.00000000,1,0
5.3000,  0.98212128,1,1
5.3333,  0.94160828,1,1
5.3667,  1.07850927,1,1
5.4000,  0.95171544,1,1
5.4333,  0.95363481,1,1
5.4667,  1.05941665,1,1
5.5000,  1.05986707,1,1
5.5333,  0.86447105,1,1
5.5667,  0.90002859,1,1
5.6000,  1.07671718,1,1
5.6333,  1.00000000,1,0
5.6667,  1.02311435,1,1
5.7000,  0.98882403,1,1
5.7333,  0.90911798,1,1
5.7667,  1.00000000,1,0
5.8000,  0.96129053,1,1
5.8333,  0.98281431,1,1
5.8667,  1.00000000,1,0
5.9000,  0.98985579,1,1
5.9333,  0.89684879,1,1
5.9667,  0.96824838,1,1
6.0000,  0.93994329,1,1
6.0333,  0.98853440,1,1
6.0667,  0.88388531,1,1
6.1000,  0.95034008,1,1
6.1333,  1.06955784,1,1
6.1667,  1.02184742,1,1
6.2000,  0.98061774,1,1
6.2333,  1.03507327,1,1
6.2667,  1.05832043,1,1
6.3000,  0.94811062,1,1
6.3333,  1.07889804,1,1
6.3667,  1.03775067,1,1
6.4000,  0.96302325,1,1
6.4333,  0.90887209,1,1
6.4667,  0.97456194,1,1
6.5000,  1.02080665,1,1
6.5333,  1.04731372,1,1
6.5667,  1.06943846,1,1
6.6000,  0.92073575,1,1
6.6333,  0.95447913,1,1
6.6667,  1.03655850,1,1
6.7000,  0.95844765,1,1
6.7333,  0.92722951,1,1
6.7667,  0.91610208,1,1
6.8000,  0.96486457,1,1
6.8333,  0.95651047,1,1
6.8667,  1.00000000,1,0
6.9000,  0.96098660,1,1
6.9333,  1.08872927,1,1
6.9667,  1.09070170,1,1
7.0000,  1.02165305,1,1
7.0333,  0.94473871,1,1
7.0667,  0.96358292,1,1
7.1000,  0.93746776,1,1
7.1333,  1.04041563,1,1
7.1667,  1.00000000,1,0
7.2000,  1.01350873,1,1
7.2333,  0.97233178,1,1
7.2667,  1.02929231,1,1
7.3000,  0.94654312,1,1
7.3333,  1.07830306,1,1
7.3667,  0.97816280,1,1
7.4000,  1.05357139,1,1
7.4333,  1.01190941,1,1
7.4667,  1.09933213,1,1
7.5000,  0.97338826,1,1
7.5333,  0.95327513,1,1
7.5667,  0.94571815,1,1
7.6000,  1.08882203,1,1
7.6333,  0.98837472,1,1
7.6667,  1.01558797,1,1
7.7000,  1.03670076,1,1
7.7333,  0.85145159,1,1
7.7667,  1.06194259,1,1
7.8000,  0.90482880,1,1
7.8333,  1.01966449,1,1
7.8667,  0.95278161,1,1
7.9000,  0.95320459,1,1
7.9333,  1.02153238,1,1
7.9667,  0.96967505,1,1
8.0000,  1.04529370,1,1
8.0333,  1.00000000,1,0
8.0667,  1.14599477,1,1
8.1000,  1.08244592,1,1
8.1333,  0.96575595,1,1
8.1667,  0.85884839,1,1
8.2000,  0.91746210,1,1
8.2333,  1.07189761,1,1
8.2667,  1.04969860,1,1
8.3000,  1.00000000,1,0
8.3333,  1.00000000,1,0
8.3667,  1.05435042,1,1
8.4000,  0.96694879,1,1
8.4333,  1.03354186,1,1
8.4667,  0.95166068,1,1
8.5000,  0.95497516,1,1
8.5333,  1.00000000,1,0
8.5667,  1.05048419,1,1
8.6000,  1.08138937,1,1
8.6333,  1.00000000,1,0
8.6667,  1.05087187,1,1
8.7000,  1.00000000,1,0
8.7333,  0.87450055,1,1
8.7667,  0.96769355,1,1
8.8000,  0.98229893,1,1
8.8333,  0.94288925,1,1
8.8667,  1.05581709,1,1
8.9000,  1.06537045,1,1
8.9333,  1.11056430,1,1
8.9667,  0.98831648,1,1
9.0000,  0.93062318,1,1
9.0333,  0.97684875,1,1
9.0667,  1.02984034,1,1
9.1000,  1.01464602,1,1
9.1333,  1.00000000,1,0
9.1667,  0.97943621,1,1
9.2000,  1.00000000,1,0
9.2333,  1.07694928,1,1
9.2667,  1.03683965,1,1
9.3000,  1.03974059,1,1
9.3333,  1.05303950,1,1
9.3667,  1.08695022,1,1
9.4000,  0.94889705,1,1
9.4333,  1.00000000,1,0
9.4667,  0.91075969,1,1
9.5000,  1.00000000,1,0
9.5333,  0.92590622,1,1
9.5667,  0.98400079,1,1
9.6000,  1.04328732,1,1
9.6333,  0.95601248,1,1
9.6667,  1.02655681,1,1
9.7000,  0.92043662,1,1
9.7333,  0.91910238,1,1
9.7667,  1.00000000,1,0
9.8000,  1.12261642,1,1
9.8333,  1.09486214,1,1
9.8667,  0.95643942,1,1
9.9000,  0.86992598,1,1
9.9333,  0.93198364,1,1
9.9667,  1.05252635,1,1
10.0000,  1.00000000,1,0
10.0333,  1.01719237,1,1
10.0667,  1.04644275,1,1
10.1000,  0.96887596,1,1
10.1333,  1.04647946,1,1
10.1667,  0.89398421,1,1
10.2000,  0.94289004,1,1
