timestamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000, -0.05716656,0,1
0.0333,  0.24103116,2.094395e-01,1
0.0667,  0.44798457,4.188790e-01,1
0.1000,  0.58778525,6.283185e-01,0
0.1333,  0.70078109,8.377580e-01,1
0.1667,  0.89527867,1.047198e+00,1
0.2000,  0.99732908,1.256637e+00,1
0.2333,  0.94562166,1.466077e+00,1
0.2667,  0.99452190,1.675516e+00,0
0.3000,  0.95105652,1.884956e+00,0
0.3333,  0.91963409,2.094395e+00,1
0.3667,  0.83222847,2.303835e+00,1
0.4000,  0.60414661,2.513274e+00,1
0.4333,  0.43925025,2.722714e+00,1
0.4667,  0.20791169,2.932153e+00,0
0.5000,  0.11781373,3.141593e+00,1
0.5333, -0.22209774,3.351032e+00,1
0.5667, -0.38600031,3.560472e+00,1
0.6000, -0.56840613,3.769911e+00,1
0.6333, -0.76124375,3.979351e+00,1
0.6667, -0.86602540,4.188790e+00,0
0.7000, -1.00350591,4.398230e+00,1
0.7333, -1.06377906,4.607669e+00,1
0.7667, -0.96481674,4.817109e+00,1
0.8000, -1.01859660,5.026548e+00,1
0.8333, -0.91253565,5.235988e+00,1
0.8667, -0.83213318,5.445427e+00,1
0.9000, -0.52893377,5.654867e+00,1
0.9333, -0.40673664,5.864306e+00,0
0.9667, -0.20791169,6.073746e+00,0
1.0000, -0.02741258,0,1
1.0333,  0.22345163,2.094395e-01,1
1.0667,  0.36347314,4.188790e-01,1
1.1000,  0.51041543,6.283185e-01,1
1.1333,  0.63379245,8.377580e-01,1
1.1667,  0.81153806,1.047198e+00,1
1.2000,  0.93219639,1.256637e+00,1
1.2333,  0.99452190,1.466077e+00,0
1.2667,  1.00548816,1.675516e+00,1
1.3000,  0.84912543,1.884956e+00,1
1.3333,  0.83138622,2.094395e+00,1
1.3667,  0.72873188,2.303835e+00,1
1.4000,  0.53049438,2.513274e+00,1
1.4333,  0.42248470,2.722714e+00,1
1.4667,  0.20791169,2.932153e+00,0
1.5000, -0.03209530,3.141593e+00,1
1.5333, -0.23541949,3.351032e+00,1
1.5667, -0.46408301,3.560472e+00,1
1.6000, -0.64024379,3.769911e+00,1
1.6333, -0.70443504,3.979351e+00,1
1.6667, -0.86602540,4.188790e+00,0
1.7000, -0.99506622,4.398230e+00,1
1.7333, -1.04911326,4.607669e+00,1
1.7667, -0.96554804,4.817109e+00,1
1.8000, -0.96805452,5.026548e+00,1
1.8333, -0.87614143,5.235988e+00,1
1.8667, -0.71694200,5.445427e+00,1
1.9000, -0.58778525,5.654867e+00,0
1.9333, -0.33364105,5.864306e+00,1
1.9667, -0.20791169,6.073746e+00,0
2.0000, -0.06529826,0,1
2.0333,  0.15013192,2.094395e-01,1
2.0667,  0.40673664,4.188790e-01,0
2.1000,  0.68298858,6.283185e-01,1
2.1333,  0.70129806,8.377580e-01,1
2.1667,  0.87732015,1.047198e+00,1
2.2000,  0.90382620,1.256637e+00,1
2.2333,  1.09078512,1.466077e+00,1
2.2667,  0.93304331,1.675516e+00,1
2.3000,  0.99949512,1.884956e+00,1
2.3333,  0.83350978,2.094395e+00,1
2.3667,  0.65165784,2.303835e+00,1
2.4000,  0.66000488,2.513274e+00,1
2.4333,  0.49008879,2.722714e+00,1
2.4667,  0.13748886,2.932153e+00,1
2.5000,  0.03395989,3.141593e+00,1
2.5333, -0.12308335,3.351032e+00,1
2.5667, -0.31018542,3.560472e+00,1
2.6000, -0.61740717,3.769911e+00,1
2.6333, -0.69005386,3.979351e+00,1
2.6667, -0.86602540,4.188790e+00,0
2.7000, -1.03389300,4.398230e+00,1
2.7333, -0.92346226,4.607669e+00,1
2.7667, -0.91018338,4.817109e+00,1
2.8000, -1.02252963,5.026548e+00,1
2.8333, -0.91019519,5.235988e+00,1
2.8667, -0.71712223,5.445427e+00,1
2.9000, -0.56743921,5.654867e+00,1
2.9333, -0.48884679,5.864306e+00,1
2.9667, -0.09971014,6.073746e+00,1
3.0000,  0.07902819,0,1
3.0333,  0.15552172,2.094395e-01,1
3.0667,  0.32998563,4.188790e-01,1
3.1000,  0.58778525,6.283185e-01,0
3.1333,  0.72805205,8.377580e-01,1
3.1667,  0.86602540,1.047198e+00,0
3.2000,  0.95105652,1.256637e+00,0
3.2333,  0.99452190,1.466077e+00,0
3.2667,  0.86355914,1.675516e+00,1
3.3000,  0.86737902,1.884956e+00,1
3.3333,  0.79166256,2.094395e+00,1
3.3667,  0.74314483,2.303835e+00,0
3.4000,  0.63936015,2.513274e+00,1
3.4333,  0.37221601,2.722714e+00,1
3.4667,  0.18317513,2.932153e+00,1
3.5000,  0.03191485,3.141593e+00,1
3.5333, -0.29076948,3.351032e+00,1
3.5667, -0.39161052,3.560472e+00,1
3.6000, -0.58778525,3.769911e+00,0
3.6333, -0.68084711,3.979351e+00,1
3.6667, -0.93626751,4.188790e+00,1
3.7000, -0.95105652,4.398230e+00,0
3.7333, -1.02771893,4.607669e+00,1
3.7667, -0.96128604,4.817109e+00,1
3.8000, -1.04501458,5.026548e+00,1
3.8333, -0.89785238,5.235988e+00,1
3.8667, -0.78977541,5.445427e+00,1
3.9000, -0.58778525,5.654867e+00,0
3.9333, -0.47660634,5.864306e+00,1
3.9667, -0.25152452,6.073746e+00,1
4.0000, -0.00000000,0,0
4.0333,  0.20791169,2.094395e-01,0
4.0667,  0.33423353,4.188790e-01,1
4.1000,  0.63436368,6.283185e-01,1
4.1333,  0.66200963,8.377580e-01,1
4.1667,  0.83447774,1.047198e+00,1
4.2000,  0.95105652,1.256637e+00,0
4.2333,  0.99452190,1.466077e+00,0
4.2667,  1.07138071,1.675516e+00,1
4.3000,  0.87848443,1.884956e+00,1
4.3333,  0.84127501,2.094395e+00,1
4.3667,  0.79910665,2.303835e+00,1
4.4000,  0.67806360,2.513274e+00,1
4.4333,  0.47998873,2.722714e+00,1
4.4667,  0.20791169,2.932153e+00,0
4.5000, -0.03443083,3.141593e+00,1
4.5333, -0.24750750,3.351032e+00,1
4.5667, -0.38810198,3.560472e+00,1
4.6000, -0.71665819,3.769911e+00,1
4.6333, -0.74314483,3.979351e+00,0
4.6667, -0.95492252,4.188790e+00,1
4.7000, -0.96847795,4.398230e+00,1
4.7333, -1.06188561,4.607669e+00,1
4.7667, -1.03058625,4.817109e+00,1
4.8000, -0.99045841,5.026548e+00,1
4.8333, -0.75861708,5.235988e+00,1
4.8667, -0.67761561,5.445427e+00,1
4.9000, -0.67643384,5.654867e+00,1
4.9333, -0.47710414,5.864306e+00,1
4.9667, -0.17813696,6.073746e+00,1
5.0000, -0.00000000,0,0
5.0333,  0.28416242,2.094395e-01,1
5.0667,  0.34682393,4.188790e-01,1
5.1000,  0.55444220,6.283185e-01,1
5.1333,  0.70412482,8.377580e-01,1
5.1667,  0.84299367,1.047198e+00,1
5.2000,  0.89941291,1.256637e+00,1
5.2333,  1.05746866,1.466077e+00,1
5.2667,  0.99452190,1.675516e+00,0
5.3000,  1.01017170,1.884956e+00,1
5.3333,  0.93911806,2.094395e+00,1
5.3667,  0.72065824,2.303835e+00,1
5.4000,  0.57302257,2.513274e+00,1
5.4333,  0.45674246,2.722714e+00,1
5.4667,  0.24835621,2.932153e+00,1
5.5000, -0.01159067,3.141593e+00,1
5.5333, -0.21933028,3.351032e+00,1
5.5667, -0.40673664,3.560472e+00,0
5.6000, -0.48547082,3.769911e+00,1
5.6333, -0.61161197,3.979351e+00,1
5.6667, -0.81610918,4.188790e+00,1
5.7000, -0.89294531,4.398230e+00,1
5.7333, -0.95481354,4.607669e+00,1
5.7667, -0.99452190,4.817109e+00,0
5.8000, -0.84299264,5.026548e+00,1
5.8333, -0.75257386,5.235988e+00,1
5.8667, -0.74314483,5.445427e+00,0
5.9000, -0.61389087,5.654867e+00,1
5.9333, -0.43510449,5.864306e+00,1
5.9667, -0.16726178,6.073746e+00,1
6.0000,  0.09965394,0,1
6.0333,  0.22316930,2.094395e-01,1
6.0667,  0.40673664,4.188790e-01,0
6.1000,  0.54601464,6.283185e-01,1
6.1333,  0.68268210,8.377580e-01,1
6.1667,  0.85137971,1.047198e+00,1
6.2000,  1.02208909,1.256637e+00,1
6.2333,  0.99452190,1.466077e+00,0
6.2667,  1.07920645,1.675516e+00,1
6.3000,  0.99247499,1.884956e+00,1
6.3333,  0.90186332,2.094395e+00,1
6.3667,  0.74314483,2.303835e+00,0
6.4000,  0.52430888,2.513274e+00,1
6.4333,  0.50360366,2.722714e+00,1
6.4667,  0.16312796,2.932153e+00,1
6.5000,  0.04381919,3.141593e+00,1
6.5333, -0.22537729,3.351032e+00,1
6.5667, -0.39336156,3.560472e+00,1
6.6000, -0.59952863,3.769911e+00,1
6.6333, -0.72777010,3.979351e+00,1
6.6667, -0.81469076,4.188790e+00,1
6.7000, -0.83622059,4.398230e+00,1
6.7333, -0.96879415,4.607669e+00,1
6.7667, -1.01475156,4.817109e+00,1
6.8000, -1.03111660,5.026548e+00,1
6.8333, -0.86602540,5.235988e+00,0
6.8667, -0.72305576,5.445427e+00,1
6.9000, -0.57706075,5.654867e+00,1
6.9333, -0.36961679,5.864306e+00,1
6.9667, -0.20791169,6.073746e+00,0
7.0000,  0.03909390,0,1
7.0333,  0.15030272,2.094395e-01,1
7.0667,  0.44480845,4.188790e-01,1
7.1000,  0.61625610,6.283185e-01,1
7.1333,  0.64907285,8.377580e-01,1
7.1667,  0.84126013,1.047198e+00,1
7.2000,  0.95105652,1.256637e+00,0
7.2333,  1.06276803,1.466077e+00,1
7.2667,  0.95140248,1.675516e+00,1
7.3000,  0.81104428,1.884956e+00,1
7.3333,  0.86602540,2.094395e+00,0
7.3667,  0.64265294,2.303835e+00,1
7.4000,  0.65670512,2.513274e+00,1
7.4333,  0.38051089,2.722714e+00,1
7.4667,  0.36544343,2.932153e+00,1
7.5000, -0.05256146,3.141593e+00,1
