timestamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000,  0.12926921,0,1
0.0333,  0.07008059,2.096489e-01,1
0.0667,  0.01547344,4.192979e-01,1
0.1000, -0.02348089,6.289468e-01,1
0.1333, -0.08626546,8.385958e-01,1
0.1667,  0.10559798,1.048245e+00,1
0.2000,  0.02250265,1.257894e+00,1
0.2333, -0.09349242,1.467543e+00,1
0.2667,  0.05778407,1.677192e+00,1
0.3000,  0.08331018,1.886841e+00,1
0.3333, -0.01525943,2.096489e+00,1
0.3667,  0.01620988,2.306138e+00,1
0.4000,  0.00000000,2.515787e+00,0
0.4333,  0.05741083,2.725436e+00,1
0.4667, -0.08712275,2.935085e+00,1
0.5000, -0.10142597,3.144734e+00,1
0.5333, -0.10405746,3.354383e+00,1
0.5667,  0.13862647,3.564032e+00,1
0.6000,  0.00000000,3.773681e+00,0
0.6333,  0.11275505,3.983330e+00,1
0.6667,  0.01887723,4.192979e+00,1
0.7000, -0.08610004,4.402628e+00,1
0.7333, -0.04861971,4.612277e+00,1
0.7667,  0.00000000,4.821926e+00,0
0.8000,  0.01052839,5.031575e+00,1
0.8333,  0.06790400,5.241224e+00,1
0.8667, -0.01287409,5.450873e+00,1
0.9000, -0.10667082,5.660522e+00,1
0.9333,  1.03723951,5.870171e+00,1
0.9667, -0.01315469,6.079820e+00,1
1.0000,  0.04944248,6.283185e-03,1
1.0333,  0.01068601,2.159321e-01,1
1.0667, -0.07483733,4.255811e-01,1
1.1000, -0.05286338,6.352300e-01,1
1.1333,  0.01646020,8.448790e-01,1
1.1667, -0.01050229,1.054528e+00,1
1.2000, -0.09253860,1.264177e+00,1
1.2333,  0.00000000,1.473826e+00,0
1.2667,  0.02342257,1.683475e+00,1
1.3000,  0.00000000,1.893124e+00,0
1.3333,  0.00000000,2.102773e+00,0
1.3667, -0.02272980,2.312422e+00,1
1.4000,  0.03206317,2.522071e+00,1
1.4333,  0.08799283,2.731720e+00,1
1.4667,  0.00000000,2.941368e+00,0
1.5000, -0.01384133,3.151017e+00,1
1.5333, -0.12059255,3.360666e+00,1
1.5667, -0.07325989,3.570315e+00,1
1.6000,  0.00000000,3.779964e+00,0
1.6333, -0.11018193,3.989613e+00,1
1.6667,  0.11582536,4.199262e+00,1
1.7000, -0.03722874,4.408911e+00,1
1.7333,  0.01025804,4.618560e+00,1
1.7667,  0.02729683,4.828209e+00,1
1.8000,  0.01041720,5.037858e+00,1
1.8333, -0.11193620,5.247507e+00,1
1.8667,  0.05587058,5.457156e+00,1
1.9000, -0.01662589,5.666805e+00,1
1.9333,  0.94775047,5.876454e+00,1
1.9667, -0.06309804,6.086103e+00,1
2.0000,  0.04124626,1.256637e-02,1
2.0333, -0.06828185,2.222153e-01,1
2.0667, -0.02859084,4.318643e-01,1
2.1000,  0.01697407,6.415132e-01,1
2.1333,  0.00000000,8.511622e-01,0
2.1667,  0.07137032,1.060811e+00,1
2.2000,  0.02439616,1.270460e+00,1
2.2333,  0.08565531,1.480109e+00,1
2.2667,  0.00000000,1.689758e+00,0
2.3000, -0.01039273,1.899407e+00,1
2.3333,  0.01003629,2.109056e+00,1
2.3667,  0.03863954,2.318705e+00,1
2.4000,  0.04198273,2.528354e+00,1
2.4333, -0.01716049,2.738003e+00,1
2.4667,  0.00000000,2.947652e+00,0
2.5000, -0.01690200,3.157301e+00,1
2.5333, -0.03535352,3.366950e+00,1
2.5667,  0.05776426,3.576599e+00,1
2.6000,  0.00000000,3.786247e+00,0
2.6333,  0.04770629,3.995896e+00,1
2.6667, -0.01388088,4.205545e+00,1
2.7000,  0.06141835,4.415194e+00,1
2.7333, -0.04818585,4.624843e+00,1
2.7667,  0.01817014,4.834492e+00,1
2.8000, -0.01966895,5.044141e+00,1
2.8333,  0.02004350,5.253790e+00,1
2.8667, -0.06880742,5.463439e+00,1
2.9000, -0.01393418,5.673088e+00,1
2.9333,  0.97144987,5.882737e+00,1
2.9667,  0.03819500,6.092386e+00,1
3.0000,  0.04229767,1.884956e-02,1
3.0333, -0.08542438,2.284985e-01,1
3.0667, -0.04293654,4.381475e-01,1
3.1000,  0.07564613,6.477964e-01,1
3.1333, -0.01751875,8.574454e-01,1
3.1667,  0.11141355,1.067094e+00,1
3.2000, -0.04818117,1.276743e+00,1
3.2333,  0.03604172,1.486392e+00,1
3.2667,  0.00000000,1.696041e+00,0
3.3000,  0.04697320,1.905690e+00,1
3.3333, -0.07679633,2.115339e+00,1
3.3667, -0.02361959,2.324988e+00,1
3.4000, -0.01787773,2.534637e+00,1
3.4333,  0.09758529,2.744286e+00,1
3.4667,  0.04014369,2.953935e+00,1
3.5000,  0.02375455,3.163584e+00,1
3.5333,  0.10498168,3.373233e+00,1
3.5667,  0.08600093,3.582882e+00,1
3.6000,  0.00000000,3.792531e+00,0
3.6333,  0.00000000,4.002180e+00,0
3.6667, -0.01103265,4.211829e+00,1
3.7000, -0.07854458,4.421478e+00,1
3.7333,  0.05026504,4.631126e+00,1
3.7667,  0.03140333,4.840775e+00,1
3.8000, -0.10353779,5.050424e+00,1
3.8333, -0.03065420,5.260073e+00,1
3.8667,  0.04311824,5.469722e+00,1
3.9000, -0.04229766,5.679371e+00,1
3.9333,  0.98195434,5.889020e+00,1
3.9667,  0.06837181,6.098669e+00,1
4.0000,  0.03825394,2.513274e-02,1
4.0333, -0.10012135,2.347817e-01,1
4.0667, -0.02697887,4.444306e-01,1
4.1000,  0.00000000,6.540796e-01,0
4.1333, -0.02373646,8.637285e-01,1
4.1667,  0.04991813,1.073377e+00,1
4.2000,  0.01042811,1.283026e+00,1
4.2333, -0.03533364,1.492675e+00,1
4.2667,  0.00000000,1.702324e+00,0
4.3000, -0.03529782,1.911973e+00,1
4.3333, -0.06392853,2.121622e+00,1
4.3667,  0.07026294,2.331271e+00,1
4.4000, -0.03096687,2.540920e+00,1
4.4333,  0.00000000,2.750569e+00,0
4.4667, -0.01045809,2.960218e+00,1
4.5000,  0.04925664,3.169867e+00,1
4.5333, -0.04510353,3.379516e+00,1
4.5667,  0.04236092,3.589165e+00,1
4.6000,  0.02395123,3.798814e+00,1
4.6333,  0.08242055,4.008463e+00,1
4.6667,  0.11231473,4.218112e+00,1
4.7000,  0.08065011,4.427761e+00,1
4.7333,  0.03344848,4.637410e+00,1
4.7667,  0.04825560,4.847059e+00,1
4.8000, -0.03248030,5.056708e+00,1
4.8333,  0.00000000,5.266356e+00,0
4.8667,  0.00000000,5.476005e+00,0
4.9000,  0.17222223,5.685654e+00,1
4.9333,  0.94430687,5.895303e+00,1
4.9667, -0.03789929,6.104952e+00,1
5.0000, -0.03811133,3.141593e-02,1
5.0333,  0.00000000,2.410649e-01,0
5.0667, -0.11100014,4.507138e-01,1
5.1000,  0.00000000,6.603628e-01,0
5.1333, -0.06599098,8.700117e-01,1
5.1667,  0.05570363,1.079661e+00,1
5.2000,  0.00000000,1.289310e+00,0
5.2333, -0.08487577,1.498959e+00,1
5.2667,  0.05689361,1.708608e+00,1
5.3000,  0.07443768,1.918256e+00,1
5.3333,  0.00000000,2.127905e+00,0
5.3667,  0.02736453,2.337554e+00,1
5.4000, -0.06471237,2.547203e+00,1
5.4333,  0.02636091,2.756852e+00,1
5.4667, -0.02906991,2.966501e+00,1
5.5000, -0.04116472,3.176150e+00,1
5.5333,  0.04288179,3.385799e+00,1
5.5667,  0.00000000,3.595448e+00,0
5.6000, -0.07282549,3.805097e+00,1
5.6333,  0.00000000,4.014746e+00,0
5.6667,  0.06441885,4.224395e+00,1
5.7000,  0.05408347,4.434044e+00,1
5.7333, -0.10509764,4.643693e+00,1
5.7667,  0.01033110,4.853342e+00,1
5.8000, -0.03506320,5.062991e+00,1
5.8333,  0.01184611,5.272640e+00,1
5.8667, -0.04282702,5.482289e+00,1
5.9000,  0.05828701,5.691938e+00,1
5.9333,  1.02738714,5.901587e+00,1
5.9667,  0.01425749,6.111235e+00,1
6.0000, -0.08861189,3.769911e-02,1
6.0333, -0.01861243,2.473481e-01,1
6.0667, -0.07851902,4.569970e-01,1
6.1000,  0.04706688,6.666460e-01,1
6.1333,  0.02836717,8.762949e-01,1
6.1667,  0.01741456,1.085944e+00,1
6.2000,  0.08215167,1.295593e+00,1
6.2333, -0.01184253,1.505242e+00,1
6.2667,  0.03992119,1.714891e+00,1
6.3000,  0.02752112,1.924540e+00,1
6.3333,  0.02697278,2.134189e+00,1
6.3667, -0.01513458,2.343838e+00,1
6.4000, -0.02522534,2.553487e+00,1
6.4333,  0.00000000,2.763135e+00,0
6.4667,  0.14621051,2.972784e+00,1
6.5000,  0.03666054,3.182433e+00,1
6.5333,  0.00000000,3.392082e+00,0
6.5667,  0.07894916,3.601731e+00,1
6.6000,  0.07199862,3.811380e+00,1
6.6333, -0.09878775,4.021029e+00,1
6.6667,  0.05332142,4.230678e+00,1
6.7000,  0.00000000,4.440327e+00,0
6.7333, -0.06445176,4.649976e+00,1
6.7667, -0.12403120,4.859625e+00,1
6.8000,  0.00000000,5.069274e+00,0
6.8333, -0.05732448,5.278923e+00,1
6.8667, -0.04373071,5.488572e+00,1
6.9000,  0.07186870,5.698221e+00,1
6.9333,  0.96016572,5.907870e+00,1
6.9667,  0.00000000,6.117519e+00,0
7.0000, -0.02947742,4.398230e-02,1
7.0333,  0.01164838,2.536312e-01,1
7.0667,  0.08198675,4.632802e-01,1
7.1000,  0.06403613,6.729291e-01,1
7.1333, -0.01121173,8.825781e-01,1
7.1667,  0.01546531,1.092227e+00,1
7.2000,  0.07287983,1.301876e+00,1
7.2333,  0.11942159,1.511525e+00,1
7.2667,  0.17710525,1.721174e+00,1
7.3000, -0.07380932,1.930823e+00,1
7.3333, -0.12506569,2.140472e+00,1
7.3667, -0.01929077,2.350121e+00,1
7.4000,  0.07411927,2.559770e+00,1
7.4333,  0.00000000,2.769419e+00,0
