timestamp,function,phase,has_anomaly
float,float,int,bool
,,,
0.0000,  0.03323746,0,1
0.0333,  0.09271788,2.094395e-01,1
0.0667, -0.04138351,4.188790e-01,1
0.1000,  0.01888458,6.283185e-01,1
0.1333,  0.06187165,8.377580e-01,1
0.1667,  0.00000000,1.047198e+00,0
0.2000, -0.05882835,1.256637e+00,1
0.2333,  0.10282092,1.466077e+00,1
0.2667,  0.06686463,1.675516e+00,1
0.3000,  0.05475872,1.884956e+00,1
0.3333, -0.07096712,2.094395e+00,1
0.3667, -0.10228995,2.303835e+00,1
0.4000,  0.07863911,2.513274e+00,1
0.4333,  0.02047620,2.722714e+00,1
0.4667, -0.05474275,2.932153e+00,1
0.5000,  0.00000000,3.141593e+00,0
0.5333, -0.06250109,3.351032e+00,1
0.5667, -0.05477067,3.560472e+00,1
0.6000,  0.00000000,3.769911e+00,0
0.6333,  0.00000000,3.979351e+00,0
0.6667,  0.01042698,4.188790e+00,1
0.7000,  0.08145475,4.398230e+00,1
0.7333, -0.01931331,4.607669e+00,1
0.7667,  0.04765960,4.817109e+00,1
0.8000, -0.05747550,5.026548e+00,1
0.8333,  0.06662249,5.235988e+00,1
0.8667,  0.04265972,5.445427e+00,1
0.9000, -0.06408093,5.654867e+00,1
0.9333, -0.05471007,5.864306e+00,1
0.9667,  1.04715403,6.073746e+00,1
1.0000, -0.04880626,0,1
1.0333, -0.15227911,2.094395e-01,1
1.0667,  0.14960272,4.188790e-01,1
1.1000,  0.02314101,6.283185e-01,1
1.1333,  0.10517305,8.377580e-01,1
1.1667, -0.06176742,1.047198e+00,1
1.2000,  0.11067044,1.256637e+00,1
1.2333, -0.02733405,1.466077e+00,1
1.2667, -0.12687355,1.675516e+00,1
1.3000, -0.06496140,1.884956e+00,1
1.3333, -0.02177570,2.094395e+00,1
1.3667,  0.03877331,2.303835e+00,1
1.4000, -0.06243146,2.513274e+00,1
1.4333, -0.03194909,2.722714e+00,1
1.4667,  0.11451251,2.932153e+00,1
1.5000, -0.03970812,3.141593e+00,1
1.5333,  0.05038341,3.351032e+00,1
1.5667,  0.00000000,3.560472e+00,0
1.6000, -0.05628604,3.769911e+00,1
1.6333,  0.06722578,3.979351e+00,1
1.6667, -0.05765520,4.188790e+00,1
1.7000,  0.15176960,4.398230e+00,1
1.7333, -0.03738269,4.607669e+00,1
1.7667,  0.03622081,4.817109e+00,1
1.8000,  0.06801505,5.026548e+00,1
1.8333, -0.07430357,5.235988e+00,1
1.8667,  0.05263729,5.445427e+00,1
1.9000,  0.00000000,5.654867e+00,0
1.9333,  0.07903779,5.864306e+00,1
1.9667,  0.96370361,6.073746e+00,1
2.0000,  0.04621156,0,1
2.0333,  0.07878392,2.094395e-01,1
2.0667, -0.06296769,4.188790e-01,1
2.1000, -0.08604438,6.283185e-01,1
2.1333, -0.01368680,8.377580e-01,1
2.1667, -0.07674142,1.047198e+00,1
2.2000, -0.01968236,1.256637e+00,1
2.2333,  0.02199530,1.466077e+00,1
2.2667, -0.01583159,1.675516e+00,1
2.3000,  0.02525149,1.884956e+00,1
2.3333,  0.12272913,2.094395e+00,1
2.3667,  0.02213795,2.303835e+00,1
2.4000, -0.01123263,2.513274e+00,1
2.4333, -0.09244041,2.722714e+00,1
2.4667,  0.03946469,2.932153e+00,1
2.5000, -0.05616172,3.141593e+00,1
2.5333,  0.01212329,3.351032e+00,1
2.5667, -0.08194359,3.560472e+00,1
2.6000, -0.02099131,3.769911e+00,1
2.6333, -0.05886060,3.979351e+00,1
2.6667, -0.01248510,4.188790e+00,1
2.7000, -0.14588019,4.398230e+00,1
2.7333, -0.02093005,4.607669e+00,1
2.7667,  0.01253605,4.817109e+00,1
2.8000, -0.02035722,5.026548e+00,1
2.8333, -0.08270229,5.235988e+00,1
2.8667,  0.05878405,5.445427e+00,1
2.9000, -0.03374507,5.654867e+00,1
2.9333,  0.00000000,5.864306e+00,0
2.9667,  1.09487190,6.073746e+00,1
3.0000,  0.02781235,0,1
3.0333,  0.00000000,2.094395e-01,0
3.0667, -0.01146430,4.188790e-01,1
3.1000,  0.07306891,6.283185e-01,1
3.1333, -0.05951324,8.377580e-01,1
3.1667, -0.10314441,1.047198e+00,1
3.2000,  0.03353810,1.256637e+00,1
3.2333,  0.07417242,1.466077e+00,1
3.2667,  0.03498625,1.675516e+00,1
3.3000,  0.00000000,1.884956e+00,0
3.3333, -0.01032195,2.094395e+00,1
3.3667, -0.02977930,2.303835e+00,1
3.4000,  0.08574794,2.513274e+00,1
3.4333,  0.02601656,2.722714e+00,1
3.4667,  0.00000000,2.932153e+00,0
3.5000,  0.00000000,3.141593e+00,0
3.5333, -0.03864567,3.351032e+00,1
3.5667, -0.04090583,3.560472e+00,1
3.6000, -0.01056706,3.769911e+00,1
3.6333,  0.01004611,3.979351e+00,1
3.6667,  0.00000000,4.188790e+00,0
3.7000, -0.05430075,4.398230e+00,1
3.7333,  0.01737838,4.607669e+00,1
3.7667,  0.03205333,4.817109e+00,1
3.8000, -0.02663460,5.026548e+00,1
3.8333, -0.04826414,5.235988e+00,1
3.8667, -0.02606285,5.445427e+00,1
3.9000,  0.03867604,5.654867e+00,1
3.9333,  0.15759946,5.864306e+00,1
3.9667,  1.02082154,6.073746e+00,1
4.0000,  0.00000000,0,0
4.0333, -0.08048838,2.094395e-01,1
4.0667,  0.04326925,4.188790e-01,1
4.1000, -0.07105093,6.283185e-01,1
4.1333, -0.08066390,8.377580e-01,1
4.1667,  0.03894601,1.047198e+00,1
4.2000, -0.02658334,1.256637e+00,1
4.2333,  0.01611565,1.466077e+00,1
4.2667,  0.08818806,1.675516e+00,1
4.3000, -0.09815267,1.884956e+00,1
4.3333, -0.06108938,2.094395e+00,1
4.3667,  0.09332973,2.303835e+00,1
4.4000,  0.00000000,2.513274e+00,0
4.4333,  0.09968534,2.722714e+00,1
4.4667,  0.03653670,2.932153e+00,1
4.5000, -0.01389016,3.141593e+00,1
4.5333,  0.07531145,3.351032e+00,1
4.5667, -0.06858510,3.560472e+00,1
4.6000,  0.03446457,3.769911e+00,1
4.6333,  0.01181996,3.979351e+00,1
4.6667,  0.00000000,4.188790e+00,0
4.7000,  0.01852483,4.398230e+00,1
4.7333, -0.05435401,4.607669e+00,1
4.7667,  0.01621852,4.817109e+00,1
4.8000,  0.02405102,5.026548e+00,1
4.8333,  0.01155528,5.235988e+00,1
4.8667, -0.01602714,5.445427e+00,1
4.9000, -0.01916691,5.654867e+00,1
4.9333,  0.01388093,5.864306e+00,1
4.9667,  1.06070657,6.073746e+00,1
5.0000,  0.06507368,0,1
5.0333, -0.04535289,2.094395e-01,1
5.0667,  0.03352163,4.188790e-01,1
5.1000, -0.06904478,6.283185e-01,1
5.1333, -0.07689603,8.377580e-01,1
5.1667,  0.01222643,1.047198e+00,1
5.2000, -0.08616837,1.256637e+00,1
5.2333, -0.05339201,1.466077e+00,1
5.2667,  0.07218776,1.675516e+00,1
5.3000,  0.03251774,1.884956e+00,1
5.3333,  0.07862163,2.094395e+00,1
5.3667,  0.00000000,2.303835e+00,0
5.4000,  0.01728570,2.513274e+00,1
5.4333, -0.08561567,2.722714e+00,1
5.4667, -0.06490881,2.932153e+00,1
5.5000,  0.02194342,3.141593e+00,1
5.5333, -0.01176885,3.351032e+00,1
5.5667,  0.06724816,3.560472e+00,1
5.6000,  0.10235105,3.769911e+00,1
5.6333, -0.12492383,3.979351e+00,1
5.6667, -0.05287185,4.188790e+00,1
5.7000, -0.02107255,4.398230e+00,1
5.7333,  0.07589923,4.607669e+00,1
5.7667,  0.07542711,4.817109e+00,1
5.8000,  0.01326079,5.026548e+00,1
5.8333,  0.09241636,5.235988e+00,1
5.8667, -0.02705669,5.445427e+00,1
5.9000, -0.07166483,5.654867e+00,1
5.9333, -0.01608289,5.864306e+00,1
5.9667,  1.00000000,6.073746e+00,0
6.0000, -0.04318926,0,1
6.0333, -0.08039927,2.094395e-01,1
6.0667, -0.08779935,4.188790e-01,1
6.1000,  0.03612678,6.283185e-01,1
6.1333, -0.05510777,8.377580e-01,1
6.1667,  0.04953710,1.047198e+00,1
6.2000, -0.13310420,1.256637e+00,1
6.2333,  0.00000000,1.466077e+00,0
6.2667,  0.00000000,1.675516e+00,0
6.3000,  0.03237045,1.884956e+00,1
6.3333, -0.10804008,2.094395e+00,1
6.3667,  0.04294422,2.303835e+00,1
6.4000, -0.03931056,2.513274e+00,1
6.4333, -0.03705973,2.722714e+00,1
6.4667, -0.01993502,2.932153e+00,1
6.5000,  0.07392036,3.141593e+00,1
6.5333,  0.00000000,3.351032e+00,0
6.5667, -0.03005740,3.560472e+00,1
6.6000, -0.07611649,3.769911e+00,1
6.6333,  0.07157033,3.979351e+00,1
6.6667,  0.04146004,4.188790e+00,1
6.7000,  0.01205292,4.398230e+00,1
6.7333,  0.00000000,4.607669e+00,0
6.7667,  0.07332222,4.817109e+00,1
6.8000,  0.08822480,5.026548e+00,1
6.8333,  0.00000000,5.235988e+00,0
6.8667, -0.04791807,5.445427e+00,1
6.9000, -0.10296990,5.654867e+00,1
6.9333,  0.00000000,5.864306e+00,0
6.9667,  1.00000000,6.073746e+00,0
7.0000,  0.00000000,0,0
7.0333,  0.01179184,2.094395e-01,1
7.0667,  0.00000000,4.188790e-01,0
7.1000, -0.03376642,6.283185e-01,1
7.1333, -0.01722244,8.377580e-01,1
7.1667, -0.04526880,1.047198e+00,1
7.2000, -0.04345596,1.256637e+00,1
7.2333,  0.09092809,1.466077e+00,1
7.2667,  0.07644728,1.675516e+00,1
7.3000, -0.02265468,1.884956e+00,1
7.3333,  0.10986290,2.094395e+00,1
7.3667,  0.00000000,2.303835e+00,0
7.4000,  0.02392788,2.513274e+00,1
7.4333,  0.00000000,2.722714e+00,0
7.4667, -0.01670317,2.932153e+00,1
7.5000,  0.01344016,3.141593e+00,1
