timestamp,function,phase,has_anomaly,anomaly_score,anomaly_likelihood
0.0000, -0.29330899,0,1,0.67500000000000004,0.96406968100000001
0.0333, -0.79370377,2.096489e-01,1,0.82499999999999996,0.999985965936248
0.0667, -0.11845157,4.192979e-01,1,1.0,1.0
0.1000, -1.29340678,6.289468e-01,1,1.0,0.999
0.1333,  0.48119557,8.385958e-01,1,1.0,0.999
0.1667,  0.26853748,1.048245e+00,1,0.10000000000000001,0.999
0.2000,  0.14055006,1.257894e+00,1,0.050000000000000003,0.999
0.2333, -0.11563635,1.467543e+00,1,0.050000000000000003,0.999
0.2667,  0.44253315,1.677192e+00,1,1.0,0.999
0.3000,  0.70160692,1.886841e+00,1,0.27500000000000002,0.999
0.3333, -0.75841865,2.096489e+00,1,1.0,0.999
0.3667,  0.89813615,2.306138e+00,1,1.0,0.999
0.4000,  0.07280870,2.515787e+00,1,1.0,0.999
0.4333,  0.18902849,2.725436e+00,1,0.375,0.999
0.4667, -0.39927438,2.935085e+00,1,0.82499999999999996,0.999
0.5000,  0.50709238,3.144734e+00,1,1.0,0.999
0.5333, -0.07321784,3.354383e+00,1,0.82499999999999996,0.999
0.5667,  0.26755750,3.564032e+00,1,0.17499999999999999,0.999
0.6000, -0.02981240,3.773681e+00,1,0.14999999999999999,0.999
0.6333,  0.41443980,3.983330e+00,1,0.97499999999999998,0.999
0.6667, -0.23153190,4.192979e+00,1,0.875,0.999
0.7000,  0.38560213,4.402628e+00,1,0.59999999999999998,0.999
0.7333,  0.49533277,4.612277e+00,1,0.17499999999999999,0.999
0.7667, -1.04678858,4.821926e+00,1,1.0,0.999
0.8000, -0.92403422,5.031575e+00,1,0.125,0.999
0.8333, -0.73237073,5.241224e+00,1,0.0,0.999
0.8667, -0.60977032,5.450873e+00,1,0.0,0.999
0.9000, -0.19856042,5.660522e+00,1,0.45000000000000001,0.999
0.9333, -0.25823815,5.870171e+00,1,0.0,0.999
0.9667,  0.19453678,6.079820e+00,1,0.97499999999999998,0.999
